Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-07 09:30,Exit,251.35,395,99895.5,-612.25,-0.61,770.25,0.77,-829.5,-0.83,-612.25,-0.61,26
1,Entry long,2023-07-06 09:45,Long,252.9,395,99895.5,-612.25,-0.61,770.25,0.77,-829.5,-0.83,-612.25,-0.61,26
2,Exit long,2023-07-12 12:15,Exit,261.6,389,99370.05,2392.35,2.41,3598.25,3.62,-855.8,-0.86,1780.1,1.78,26
2,Entry long,2023-07-11 12:30,Long,255.45,389,99370.05,2392.35,2.41,3598.25,3.62,-855.8,-0.86,1780.1,1.78,26
3,Exit long,2023-07-13 14:00,Exit,261.55,377,101714.6,-3110.25,-3.06,546.65,0.54,-3110.25,-3.06,-1330.15,-1.33,18
3,Entry long,2023-07-13 09:30,Long,269.8,377,101714.6,-3110.25,-3.06,546.65,0.54,-3110.25,-3.06,-1330.15,-1.33,18
4,Exit long,2023-09-27 12:30,Exit,292.5,340,98736,714,0.72,1734,1.76,-1938,-1.96,-616.15,-0.62,12
4,Entry long,2023-09-27 09:30,Long,290.4,340,98736,714,0.72,1734,1.76,-1938,-1.96,-616.15,-0.62,12
5,Exit long,2023-10-03 15:15,Exit,295.65,333,99317.25,-865.8,-0.87,249.75,0.25,-865.8,-0.87,-1481.95,-1.48,19
5,Entry long,2023-10-03 10:30,Long,298.25,333,99317.25,-865.8,-0.87,249.75,0.25,-865.8,-0.87,-1481.95,-1.48,19
6,Exit long,2023-10-11 10:45,Exit,300,327,98263.5,-163.5,-0.17,1373.4,1.40,-179.85,-0.18,-1645.45,-1.65,5
6,Entry long,2023-10-11 09:30,Long,300.5,327,98263.5,-163.5,-0.17,1373.4,1.40,-179.85,-0.18,-1645.45,-1.65,5
7,Exit long,2023-12-05 11:30,Exit,305.25,316,98260.2,-1801.2,-1.83,790,0.80,-1801.2,-1.83,-3446.65,-3.45,8
7,Entry long,2023-12-05 09:30,Long,310.95,316,98260.2,-1801.2,-1.83,790,0.80,-1801.2,-1.83,-3446.65,-3.45,8
8,Exit long,2023-12-11 14:15,Exit,329,305,96410.5,3934.5,4.08,4697,4.87,-732,-0.76,487.85,0.49,31
8,Entry long,2023-12-08 13:15,Long,316.1,305,96410.5,3934.5,4.08,4697,4.87,-732,-0.76,487.85,0.49,31
9,Exit long,2023-12-13 11:45,Exit,330.3,300,100200,-1110,-1.11,1620,1.62,-1200,-1.20,-622.15,-0.62,6
9,Entry long,2023-12-13 10:15,Long,334,300,100200,-1110,-1.11,1620,1.62,-1200,-1.20,-622.15,-0.62,6
10,Exit long,2023-12-20 11:15,Exit,335.9,291,99260.1,-1513.2,-1.52,552.9,0.56,-1629.6,-1.64,-2135.35,-2.14,5
10,Entry long,2023-12-20 10:00,Long,341.1,291,99260.1,-1513.2,-1.52,552.9,0.56,-1629.6,-1.64,-2135.35,-2.14,5
11,Exit long,2024-01-11 12:45,Exit,343,282,97501.5,-775.5,-0.80,1113.9,1.14,-972.9,-1.00,-2910.85,-2.91,8
11,Entry long,2024-01-11 10:45,Long,345.75,282,97501.5,-775.5,-0.80,1113.9,1.14,-972.9,-1.00,-2910.85,-2.91,8
12,Exit long,2024-01-15 10:30,Exit,345.45,277,96950,-1260.35,-1.30,249.3,0.26,-1260.35,-1.30,-4171.2,-4.17,4
12,Entry long,2024-01-15 09:30,Long,350,277,96950,-1260.35,-1.30,249.3,0.26,-1260.35,-1.30,-4171.2,-4.17,4
13,Exit long,2024-02-02 10:30,Exit,370.95,255,95523,-930.75,-0.97,2511.75,2.63,-1262.25,-1.32,-5101.95,-5.10,36
13,Entry long,2024-01-31 15:15,Long,374.6,255,95523,-930.75,-0.97,2511.75,2.63,-1262.25,-1.32,-5101.95,-5.10,36
14,Exit long,2024-02-08 09:15,Exit,367.85,242,89842.5,-822.8,-0.92,1016.4,1.13,-822.8,-0.92,-5924.75,-5.92,28
14,Entry long,2024-02-07 09:15,Long,371.25,242,89842.5,-822.8,-0.92,1016.4,1.13,-822.8,-0.92,-5924.75,-5.92,28
15,Exit long,2024-10-14 12:45,Exit,391.55,237,93828.3,-1030.95,-1.10,1362.75,1.45,-1267.95,-1.35,-6955.7,-6.96,12
15,Entry long,2024-10-14 09:45,Long,395.9,237,93828.3,-1030.95,-1.10,1362.75,1.45,-1267.95,-1.35,-6955.7,-6.96,12
