Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-06 09:30,Exit,4870.1,20,97721,-319,-0.33,279,0.29,-1081,-1.11,-319,-0.32,5
1,Entry long,2023-07-05 15:00,Long,4886.05,20,97721,-319,-0.33,279,0.29,-1081,-1.11,-319,-0.32,5
2,Exit long,2023-07-07 09:00,Exit,4875.5,20,98290,-780,-0.79,296,0.30,-780,-0.79,-1099,-1.10,5
2,Entry long,2023-07-06 14:30,Long,4914.5,20,98290,-780,-0.79,296,0.30,-780,-0.79,-1099,-1.10,5
3,Exit long,2023-09-18 12:15,Exit,5210,19,95742.9,3247.1,3.39,4480.2,4.68,-292.6,-0.31,2148.1,2.15,38
3,Entry long,2023-09-15 09:30,Long,5039.1,19,95742.9,3247.1,3.39,4480.2,4.68,-292.6,-0.31,2148.1,2.15,38
4,Exit long,2023-10-23 09:30,Exit,5436.9,19,100814,2487.1,2.47,3876,3.84,-1159,-1.15,4635.2,4.64,55
4,Entry long,2023-10-19 09:15,Long,5306,19,100814,2487.1,2.47,3876,3.84,-1159,-1.15,4635.2,4.64,55
5,Exit long,2023-11-15 10:15,Exit,5465.25,18,98555.4,-180.9,-0.18,777.6,0.79,-180.9,-0.18,4454.3,4.45,4
5,Entry long,2023-11-15 09:15,Long,5475.3,18,98555.4,-180.9,-0.18,777.6,0.79,-180.9,-0.18,4454.3,4.45,4
6,Exit long,2023-11-16 13:15,Exit,5562,18,100237.5,-121.5,-0.12,255.6,0.25,-571.5,-0.57,4332.8,4.33,12
6,Entry long,2023-11-16 10:15,Long,5568.75,18,100237.5,-121.5,-0.12,255.6,0.25,-571.5,-0.57,4332.8,4.33,12
7,Exit long,2023-11-22 14:00,Exit,5711.5,18,101420.1,1386.9,1.37,1898.1,1.87,-563.4,-0.56,5719.7,5.72,100
7,Entry long,2023-11-17 09:30,Long,5634.45,18,101420.1,1386.9,1.37,1898.1,1.87,-563.4,-0.56,5719.7,5.72,100
8,Exit long,2023-11-23 12:30,Exit,5901.2,18,103464,2757.6,2.67,3546,3.43,-8.1,-0.01,8477.3,8.48,16
8,Entry long,2023-11-22 15:15,Long,5748,18,103464,2757.6,2.67,3546,3.43,-8.1,-0.01,8477.3,8.48,16
9,Exit long,2023-11-29 11:30,Exit,6039,18,107577.9,1124.1,1.04,1650.6,1.53,-248.4,-0.23,9601.4,9.60,14
9,Entry long,2023-11-28 14:45,Long,5976.55,18,107577.9,1124.1,1.04,1650.6,1.53,-248.4,-0.23,9601.4,9.60,14
10,Exit long,2023-12-01 09:15,Exit,6078.9,18,109259.1,161.1,0.15,1061.1,0.97,-701.1,-0.64,9762.5,9.76,29
10,Entry long,2023-11-29 15:30,Long,6069.95,18,109259.1,161.1,0.15,1061.1,0.97,-701.1,-0.64,9762.5,9.76,29
11,Exit long,2023-12-05 09:15,Exit,6157,17,105020.9,-351.9,-0.34,680,0.65,-351.9,-0.34,9410.6,9.41,10
