Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-14 09:15,Exit,7342,13,94329.3,1116.7,1.18,2845.7,3.02,-324.35,-0.34,1116.7,1.12,52
1,Entry long,2023-07-12 09:45,Long,7256.1,13,94329.3,1116.7,1.18,2845.7,3.02,-324.35,-0.34,1116.7,1.12,52
2,Exit long,2023-07-17 12:15,Exit,7473.7,13,98259.2,-1101.1,-1.12,410.8,0.42,-1101.1,-1.12,15.6,0.02,15
2,Entry long,2023-07-14 15:15,Long,7558.4,13,98259.2,-1101.1,-1.12,410.8,0.42,-1101.1,-1.12,15.6,0.02,15
3,Exit long,2023-12-05 09:15,Exit,7720.1,12,92778.6,-137.4,-0.15,2912.4,3.14,-378.6,-0.41,-121.8,-0.12,11
3,Entry long,2023-12-04 13:15,Long,7731.55,12,92778.6,-137.4,-0.15,2912.4,3.14,-378.6,-0.41,-121.8,-0.12,11
4,Exit long,2023-12-07 12:00,Exit,8064.5,12,96033.6,740.4,0.77,4452.6,4.64,-32.4,-0.03,618.6,0.62,7
4,Entry long,2023-12-07 10:15,Long,8002.8,12,96033.6,740.4,0.77,4452.6,4.64,-32.4,-0.03,618.6,0.62,7
5,Exit long,2024-01-20 09:15,Exit,8405.1,11,92523.2,-67.1,-0.07,976.8,1.06,-321.2,-0.35,551.5,0.55,11
5,Entry long,2024-01-19 13:15,Long,8411.2,11,92523.2,-67.1,-0.07,976.8,1.06,-321.2,-0.35,551.5,0.55,11
6,Exit long,2024-02-07 11:30,Exit,8549.6,11,94673.15,-627.55,-0.66,256.85,0.27,-627.55,-0.66,-76.05,-0.08,5
6,Entry long,2024-02-07 10:15,Long,8606.65,11,94673.15,-627.55,-0.66,256.85,0.27,-627.55,-0.66,-76.05,-0.08,5
7,Exit long,2024-02-07 14:15,Exit,8645,11,95286.95,-191.95,-0.20,622.05,0.65,-191.95,-0.20,-268,-0.27,7
7,Entry long,2024-02-07 12:30,Long,8662.45,11,95286.95,-191.95,-0.20,622.05,0.65,-191.95,-0.20,-268,-0.27,7
8,Exit long,2024-02-09 10:00,Exit,8602,11,96050.9,-1428.9,-1.49,574.2,0.60,-1428.9,-1.49,-1696.9,-1.70,2
8,Entry long,2024-02-09 09:30,Long,8731.9,11,96050.9,-1428.9,-1.49,574.2,0.60,-1428.9,-1.49,-1696.9,-1.70,2
9,Exit long,2024-02-27 11:45,Exit,8931.95,10,90130,-810.5,-0.90,1270,1.41,-985,-1.09,-2507.4,-2.51,8
9,Entry long,2024-02-27 09:45,Long,9013,10,90130,-810.5,-0.90,1270,1.41,-985,-1.09,-2507.4,-2.51,8
10,Exit long,2024-03-01 10:00,Exit,9074.1,10,91999.5,-1258.5,-1.37,1490,1.62,-1258.5,-1.37,-3765.9,-3.77,6
10,Entry long,2024-02-29 15:15,Long,9199.95,10,91999.5,-1258.5,-1.37,1490,1.62,-1258.5,-1.37,-3765.9,-3.77,6
11,Exit long,2024-08-28 11:00,Exit,10079.8,9,91183.95,-465.75,-0.51,2497.05,2.74,-733.05,-0.80,-4231.65,-4.23,6
11,Entry long,2024-08-28 09:30,Long,10131.55,9,91183.95,-465.75,-0.51,2497.05,2.74,-733.05,-0.80,-4231.65,-4.23,6
12,Exit long,2024-09-03 12:15,Exit,10812.8,9,94961.25,2353.95,2.48,3534.3,3.72,-1301.85,-1.37,-1877.7,-1.88,27
12,Entry long,2024-09-02 12:30,Long,10551.25,9,94961.25,2353.95,2.48,3534.3,3.72,-1301.85,-1.37,-1877.7,-1.88,27
13,Exit long,2024-09-05 09:00,Exit,10957,8,87911.6,-255.6,-0.29,1568.4,1.78,-255.6,-0.29,-2133.3,-2.13,25
13,Entry long,2024-09-04 09:30,Long,10988.95,8,87911.6,-255.6,-0.29,1568.4,1.78,-255.6,-0.29,-2133.3,-2.13,25
14,Exit long,2024-09-20 13:15,Exit,10885.2,8,89739.6,-2658,-2.96,79.2,0.09,-2658,-2.96,-4791.3,-4.79,12
14,Entry long,2024-09-20 10:15,Long,11217.45,8,89739.6,-2658,-2.96,79.2,0.09,-2658,-2.96,-4791.3,-4.79,12
15,Exit long,2024-09-23 09:30,Exit,11070.65,8,90000,-1434.8,-1.59,216,0.24,-1590,-1.77,-6226.1,-6.23,4
15,Entry long,2024-09-20 15:30,Long,11250,8,90000,-1434.8,-1.59,216,0.24,-1590,-1.77,-6226.1,-6.23,4
16,Exit long,2024-12-30 12:00,Exit,11578.2,8,93392,-766.4,-0.82,608,0.65,-1624,-1.74,-6992.5,-6.99,8
16,Entry long,2024-12-30 10:00,Long,11674,8,93392,-766.4,-0.82,608,0.65,-1624,-1.74,-6992.5,-6.99,8
17,Exit long,2025-01-06 09:30,Exit,11385.25,7,90772.85,-11076.1,-12.20,1893.15,2.09,-11076.1,-12.20,-18068.6,-18.07,113
17,Entry long,2024-12-30 15:15,Long,12967.55,7,90772.85,-11076.1,-12.20,1893.15,2.09,-11076.1,-12.20,-18068.6,-18.07,113
18,Exit long,2025-05-20 09:45,Exit,13375,6,80994,-744,-0.92,5406,6.67,-1416,-1.75,-18812.6,-18.81,21
18,Entry long,2025-05-19 11:15,Long,13499,6,80994,-744,-0.92,5406,6.67,-1416,-1.75,-18812.6,-18.81,21
