Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-12 09:15,Exit,602.55,175,99487.5,5958.75,5.99,12337.5,12.40,-1041.25,-1.05,5958.75,5.96,24
1,Entry long,2023-07-11 10:00,Long,568.5,175,99487.5,5958.75,5.99,12337.5,12.40,-1041.25,-1.05,5958.75,5.96,24
2,Exit long,2023-12-06 12:15,Exit,634.05,164,105829.2,-1845,-1.74,196.8,0.19,-1845,-1.74,4113.75,4.11,6
2,Entry long,2023-12-06 10:45,Long,645.3,164,105829.2,-1845,-1.74,196.8,0.19,-1845,-1.74,4113.75,4.11,6
3,Exit long,2023-12-07 12:00,Exit,643.65,159,103787.25,-1446.9,-1.39,620.1,0.60,-1446.9,-1.39,2666.85,2.67,5
3,Entry long,2023-12-07 10:45,Long,652.75,159,103787.25,-1446.9,-1.39,620.1,0.60,-1446.9,-1.39,2666.85,2.67,5
4,Exit long,2023-12-08 13:00,Exit,667.1,152,102379.6,-980.4,-0.96,3260.4,3.18,-980.4,-0.96,1686.45,1.69,14
4,Entry long,2023-12-08 09:30,Long,673.55,152,102379.6,-980.4,-0.96,3260.4,3.18,-980.4,-0.96,1686.45,1.69,14
5,Exit long,2023-12-12 13:00,Exit,688.2,144,101160,-2059.2,-2.04,360,0.36,-2160,-2.14,-372.75,-0.37,5
5,Entry long,2023-12-12 11:45,Long,702.5,144,101160,-2059.2,-2.04,360,0.36,-2160,-2.14,-372.75,-0.37,5
6,Exit long,2023-12-19 09:15,Exit,756.6,139,99246,5921.4,5.97,11815,11.90,-715.85,-0.72,5548.65,5.55,26
6,Entry long,2023-12-18 09:30,Long,714,139,99246,5921.4,5.97,11815,11.90,-715.85,-0.72,5548.65,5.55,26
7,Exit long,2023-12-26 15:15,Exit,840.7,131,105376.4,4755.3,4.51,7742.1,7.35,-707.4,-0.67,10303.95,10.30,23
7,Entry long,2023-12-26 09:30,Long,804.4,131,105376.4,4755.3,4.51,7742.1,7.35,-707.4,-0.67,10303.95,10.30,23
8,Exit long,2023-12-27 15:15,Exit,878.5,126,109947.6,743.4,0.68,4145.4,3.77,-617.4,-0.56,11047.35,11.05,20
8,Entry long,2023-12-27 10:15,Long,872.6,126,109947.6,743.4,0.68,4145.4,3.77,-617.4,-0.56,11047.35,11.05,20
9,Exit long,2024-01-16 11:15,Exit,896.55,121,110642.4,-2159.85,-1.95,605,0.55,-2335.3,-2.11,8887.5,8.89,5
9,Entry long,2024-01-16 10:00,Long,914.4,121,110642.4,-2159.85,-1.95,605,0.55,-2335.3,-2.11,8887.5,8.89,5
10,Exit long,2024-02-27 11:15,Exit,962.6,111,108408.15,-1559.55,-1.44,1748.25,1.61,-1559.55,-1.44,7327.95,7.33,5
10,Entry long,2024-02-27 10:00,Long,976.65,111,108408.15,-1559.55,-1.44,1748.25,1.61,-1559.55,-1.44,7327.95,7.33,5
11,Exit long,2024-04-24 15:15,Exit,1020.6,107,106411.5,2792.7,2.62,5066.45,4.76,-85.6,-0.08,10120.65,10.12,20
11,Entry long,2024-04-24 10:15,Long,994.5,107,106411.5,2792.7,2.62,5066.45,4.76,-85.6,-0.08,10120.65,10.12,20
12,Exit long,2024-04-25 11:15,Exit,1025.25,105,109835.25,-2184,-1.99,304.5,0.28,-2199.75,-2.00,7936.65,7.94,6
12,Entry long,2024-04-25 09:45,Long,1046.05,105,109835.25,-2184,-1.99,304.5,0.28,-2199.75,-2.00,7936.65,7.94,6
13,Exit long,2024-05-22 15:00,Exit,1317.3,102,107604.9,26759.7,24.87,32028,29.76,-3284.4,-3.05,34696.35,34.70,86
13,Entry long,2024-05-17 09:30,Long,1054.95,102,107604.9,26759.7,24.87,32028,29.76,-3284.4,-3.05,34696.35,34.70,86
14,Exit long,2024-06-03 11:30,Exit,1582,97,134107.35,19346.65,14.43,27198.8,20.28,-1455,-1.08,54043,54.04,196
14,Entry long,2024-05-23 09:45,Long,1382.55,97,134107.35,19346.65,14.43,27198.8,20.28,-1455,-1.08,54043,54.04,196
