Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-11 13:00,Exit,807.3,123,99347.1,-49.2,-0.05,1100.85,1.11,-307.5,-0.31,-49.2,-0.05,5
1,Entry long,2023-07-11 11:45,Long,807.7,123,99347.1,-49.2,-0.05,1100.85,1.11,-307.5,-0.31,-49.2,-0.05,5
2,Exit long,2023-07-25 09:15,Exit,881.05,118,99391.4,4572.5,4.60,6513.6,6.55,-1392.4,-1.40,4523.3,4.52,36
2,Entry long,2023-07-21 13:45,Long,842.3,118,99391.4,4572.5,4.60,6513.6,6.55,-1392.4,-1.40,4523.3,4.52,36
3,Exit long,2023-07-25 12:45,Exit,900.15,115,103845,-327.75,-0.32,529,0.51,-2645,-2.55,4195.55,4.20,11
3,Entry long,2023-07-25 10:00,Long,903,115,103845,-327.75,-0.32,529,0.51,-2645,-2.55,4195.55,4.20,11
4,Exit long,2023-07-26 14:00,Exit,902.5,114,103854,-969,-0.93,114,0.11,-969,-0.93,3226.55,3.23,4
4,Entry long,2023-07-26 13:00,Long,911,114,103854,-969,-0.93,114,0.11,-969,-0.93,3226.55,3.23,4
5,Exit long,2023-08-02 11:30,Exit,1029.35,99,102474.9,-569.25,-0.56,1202.85,1.17,-702.9,-0.69,2657.3,2.66,6
5,Entry long,2023-08-02 10:00,Long,1035.1,99,102474.9,-569.25,-0.56,1202.85,1.17,-702.9,-0.69,2657.3,2.66,6
6,Exit long,2023-08-02 13:30,Exit,1041.2,96,101640,-1684.8,-1.66,499.2,0.49,-1795.2,-1.77,972.5,0.97,5
6,Entry long,2023-08-02 12:15,Long,1058.75,96,101640,-1684.8,-1.66,499.2,0.49,-1795.2,-1.77,972.5,0.97,5
7,Exit long,2023-08-25 09:15,Exit,1082.5,93,99914.55,757.95,0.76,2776.05,2.78,-1515.9,-1.52,1730.45,1.73,53
7,Entry long,2023-08-23 09:30,Long,1074.35,93,99914.55,757.95,0.76,2776.05,2.78,-1515.9,-1.52,1730.45,1.73,53
8,Exit long,2023-08-30 09:30,Exit,1214.95,92,101678.4,10097,9.93,12953.6,12.74,0,0.00,11827.45,11.83,22
8,Entry long,2023-08-29 10:45,Long,1105.2,92,101678.4,10097,9.93,12953.6,12.74,0,0.00,11827.45,11.83,22
9,Exit long,2023-08-31 12:30,Exit,1240,89,111824.05,-1464.05,-1.31,983.45,0.88,-2202.75,-1.97,10363.4,10.36,5
9,Entry long,2023-08-31 11:15,Long,1256.45,89,111824.05,-1464.05,-1.31,983.45,0.88,-2202.75,-1.97,10363.4,10.36,5
10,Exit long,2023-09-11 15:00,Exit,1304.8,84,109548.6,54.6,0.05,4712.4,4.30,-1717.8,-1.57,10418,10.42,33
10,Entry long,2023-09-08 13:30,Long,1304.15,84,109548.6,54.6,0.05,4712.4,4.30,-1717.8,-1.57,10418,10.42,33
11,Exit long,2023-12-22 12:15,Exit,1381.9,79,109964.05,-793.95,-0.72,1425.95,1.30,-825.55,-0.75,9624.05,9.62,7
11,Entry long,2023-12-22 10:30,Long,1391.95,79,109964.05,-793.95,-0.72,1425.95,1.30,-825.55,-0.75,9624.05,9.62,7
12,Exit long,2023-12-26 14:00,Exit,1419.6,77,108916.5,392.7,0.36,1447.6,1.33,-496.65,-0.46,10016.75,10.02,17
12,Entry long,2023-12-26 09:45,Long,1414.5,77,108916.5,392.7,0.36,1447.6,1.33,-496.65,-0.46,10016.75,10.02,17
13,Exit long,2023-12-27 12:15,Exit,1425.85,76,109443.8,-1079.2,-0.99,1364.2,1.25,-1333.8,-1.22,8937.55,8.94,15
13,Entry long,2023-12-26 15:15,Long,1440.05,76,109443.8,-1079.2,-0.99,1364.2,1.25,-1333.8,-1.22,8937.55,8.94,15
14,Exit long,2024-01-10 09:30,Exit,1554.75,70,108916.5,-84,-0.08,7168,6.58,-1396.5,-1.28,8853.55,8.85,58
14,Entry long,2024-01-05 15:15,Long,1555.95,70,108916.5,-84,-0.08,7168,6.58,-1396.5,-1.28,8853.55,8.85,58
15,Exit long,2024-01-31 14:30,Exit,1767.55,59,107079.1,-2793.65,-2.61,64.9,0.06,-2793.65,-2.61,6059.9,6.06,19
15,Entry long,2024-01-31 09:45,Long,1814.9,59,107079.1,-2793.65,-2.61,64.9,0.06,-2793.65,-2.61,6059.9,6.06,19
16,Exit long,2024-02-02 10:45,Exit,1930.85,56,104756.4,3371.2,3.22,11284,10.77,-268.8,-0.26,9431.1,9.43,10
16,Entry long,2024-02-01 15:00,Long,1870.65,56,104756.4,3371.2,3.22,11284,10.77,-268.8,-0.26,9431.1,9.43,10
17,Exit long,2024-05-22 14:30,Exit,2267.9,50,107845,5550,5.15,9155,8.49,-3305,-3.06,14981.1,14.98,20
17,Entry long,2024-05-22 09:30,Long,2156.9,50,107845,5550,5.15,9155,8.49,-3305,-3.06,14981.1,14.98,20
18,Exit long,2024-07-05 11:15,Exit,2594.35,44,112983.2,1168.2,1.03,7752.8,6.86,0,0.00,16149.3,16.15,6
18,Entry long,2024-07-05 09:45,Long,2567.8,44,112983.2,1168.2,1.03,7752.8,6.86,0,0.00,16149.3,16.15,6
