Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-09-04 11:45,Exit,469.9,216,99165.6,2332.8,2.35,4924.8,4.97,-313.2,-0.32,2332.8,2.33,10
1,Entry long,2023-09-04 09:15,Long,459.1,216,99165.6,2332.8,2.35,4924.8,4.97,-313.2,-0.32,2332.8,2.33,10
2,Exit long,2023-09-06 10:30,Exit,476.95,210,101766,-1606.5,-1.58,220.5,0.22,-1606.5,-1.58,726.3,0.73,4
2,Entry long,2023-09-06 09:30,Long,484.6,210,101766,-1606.5,-1.58,220.5,0.22,-1606.5,-1.58,726.3,0.73,4
3,Exit long,2023-11-03 14:00,Exit,485.75,205,100398.75,-820,-0.82,768.75,0.77,-820,-0.82,-93.7,-0.09,10
3,Entry long,2023-11-03 11:30,Long,489.75,205,100398.75,-820,-0.82,768.75,0.77,-820,-0.82,-93.7,-0.09,10
4,Exit long,2023-11-06 11:00,Exit,519.8,200,99890,4070,4.07,7940,7.95,-130,-0.13,3976.3,3.98,10
4,Entry long,2023-11-03 15:15,Long,499.45,200,99890,4070,4.07,7940,7.95,-130,-0.13,3976.3,3.98,10
5,Exit long,2023-11-09 10:45,Exit,546.4,187,103887.85,-1711.05,-1.65,1327.7,1.28,-1851.3,-1.78,2265.25,2.27,5
5,Entry long,2023-11-09 09:30,Long,555.55,187,103887.85,-1711.05,-1.65,1327.7,1.28,-1851.3,-1.78,2265.25,2.27,5
6,Exit long,2023-11-17 13:15,Exit,549.2,181,102038.75,-2633.55,-2.58,280.55,0.27,-2633.55,-2.58,-368.3,-0.37,15
6,Entry long,2023-11-17 09:30,Long,563.75,181,102038.75,-2633.55,-2.58,280.55,0.27,-2633.55,-2.58,-368.3,-0.37,15
7,Exit long,2023-11-29 09:30,Exit,573.75,170,98651,-1113.5,-1.13,1419.5,1.44,-1113.5,-1.13,-1481.8,-1.48,3
7,Entry long,2023-11-28 15:30,Long,580.3,170,98651,-1113.5,-1.13,1419.5,1.44,-1113.5,-1.13,-1481.8,-1.48,3
8,Exit long,2023-12-12 14:45,Exit,604.05,165,98043,1625.25,1.66,17655,18.01,-173.25,-0.18,143.45,0.14,227
8,Entry long,2023-11-30 12:15,Long,594.2,165,98043,1625.25,1.66,17655,18.01,-173.25,-0.18,143.45,0.14,227
9,Exit long,2024-01-19 13:15,Exit,739.45,132,99627,-2019.6,-2.03,151.8,0.15,-2019.6,-2.03,-1876.15,-1.88,15
9,Entry long,2024-01-19 09:30,Long,754.75,132,99627,-2019.6,-2.03,151.8,0.15,-2019.6,-2.03,-1876.15,-1.88,15
10,Exit long,2024-01-30 10:45,Exit,766.55,126,98065.8,-1480.5,-1.51,2727.9,2.78,-1675.8,-1.71,-3356.65,-3.36,5
10,Entry long,2024-01-30 09:30,Long,778.3,126,98065.8,-1480.5,-1.51,2727.9,2.78,-1675.8,-1.71,-3356.65,-3.36,5
11,Exit long,2024-02-07 11:30,Exit,812.1,118,96459.1,-631.3,-0.65,354,0.37,-631.3,-0.65,-3987.95,-3.99,4
11,Entry long,2024-02-07 10:30,Long,817.45,118,96459.1,-631.3,-0.65,354,0.37,-631.3,-0.65,-3987.95,-3.99,4
12,Exit long,2024-05-18 12:15,Exit,885,110,95452.5,1897.5,1.99,4455,4.67,-742.5,-0.78,-2090.45,-2.09,28
12,Entry long,2024-05-17 10:45,Long,867.75,110,95452.5,1897.5,1.99,4455,4.67,-742.5,-0.78,-2090.45,-2.09,28
13,Exit long,2024-05-22 09:15,Exit,885,106,97626,-3816,-3.91,2109.4,2.16,-3816,-3.91,-5906.45,-5.91,25
13,Entry long,2024-05-21 09:30,Long,921,106,97626,-3816,-3.91,2109.4,2.16,-3816,-3.91,-5906.45,-5.91,25
14,Exit long,2024-05-29 10:30,Exit,934.65,95,93437.25,-4645.5,-4.97,0,0.00,-5011.25,-5.36,-10551.95,-10.55,4
14,Entry long,2024-05-29 09:30,Long,983.55,95,93437.25,-4645.5,-4.97,0,0.00,-5011.25,-5.36,-10551.95,-10.55,4
15,Exit long,2024-06-25 12:00,Exit,1039.5,82,88506.7,-3267.7,-3.69,861,0.97,-3267.7,-3.69,-13819.65,-13.82,13
15,Entry long,2024-06-24 15:30,Long,1079.35,82,88506.7,-3267.7,-3.69,861,0.97,-3267.7,-3.69,-13819.65,-13.82,13
