Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-05 14:45,Exit,1880.25,52,98789.6,-1016.6,-1.03,421.2,0.43,-1016.6,-1.03,-1016.6,-1.02,12
1,Entry long,2023-07-05 11:45,Long,1899.8,52,98789.6,-1016.6,-1.03,421.2,0.43,-1016.6,-1.03,-1016.6,-1.02,12
2,Exit long,2023-07-06 15:15,Exit,1884.25,51,97603.8,-1507.05,-1.54,494.7,0.51,-1507.05,-1.54,-2523.65,-2.52,23
2,Entry long,2023-07-06 09:30,Long,1913.8,51,97603.8,-1507.05,-1.54,494.7,0.51,-1507.05,-1.54,-2523.65,-2.52,23
3,Exit long,2023-07-10 14:15,Exit,1903,50,97000,-1850,-1.91,92.5,0.10,-1997.5,-2.06,-4373.65,-4.37,4
3,Entry long,2023-07-10 13:15,Long,1940,50,97000,-1850,-1.91,92.5,0.10,-1997.5,-2.06,-4373.65,-4.37,4
4,Exit long,2023-07-11 11:15,Exit,1963.55,48,94464,-213.6,-0.23,998.4,1.06,-213.6,-0.23,-4587.25,-4.59,7
4,Entry long,2023-07-11 09:30,Long,1968,48,94464,-213.6,-0.23,998.4,1.06,-213.6,-0.23,-4587.25,-4.59,7
5,Exit long,2023-07-13 12:30,Exit,2151,47,94206.8,6890.2,7.31,11543.2,12.25,-390.1,-0.41,2302.95,2.30,36
5,Entry long,2023-07-12 10:15,Long,2004.4,47,94206.8,6890.2,7.31,11543.2,12.25,-390.1,-0.41,2302.95,2.30,36
6,Exit long,2023-08-17 15:15,Exit,2224.4,45,101565,-1467,-1.44,492.75,0.49,-1467,-1.44,835.95,0.84,11
6,Entry long,2023-08-17 12:30,Long,2257,45,101565,-1467,-1.44,492.75,0.49,-1467,-1.44,835.95,0.84,11
7,Exit long,2023-08-23 09:30,Exit,2366,42,99789.9,-417.9,-0.42,2102.1,2.11,-2253.3,-2.26,418.05,0.42,31
7,Entry long,2023-08-21 15:15,Long,2375.95,42,99789.9,-417.9,-0.42,2102.1,2.11,-2253.3,-2.26,418.05,0.42,31
8,Exit long,2023-09-01 15:15,Exit,2461,41,100148.65,752.35,0.75,1736.35,1.73,-2064.35,-2.06,1170.4,1.17,20
8,Entry long,2023-09-01 10:15,Long,2442.65,41,100148.65,752.35,0.75,1736.35,1.73,-2064.35,-2.06,1170.4,1.17,20
9,Exit long,2024-02-26 13:30,Exit,2505.55,40,100200,22,0.02,1780,1.78,-530,-0.53,1192.4,1.19,8
9,Entry long,2024-02-26 11:30,Long,2505,40,100200,22,0.02,1780,1.78,-530,-0.53,1192.4,1.19,8
10,Exit long,2024-02-27 14:15,Exit,2554.05,39,100033.05,-425.1,-0.42,4485,4.48,-468,-0.47,767.3,0.77,23
10,Entry long,2024-02-26 15:15,Long,2564.95,39,100033.05,-425.1,-0.42,4485,4.48,-468,-0.47,767.3,0.77,23
11,Exit long,2024-03-04 12:00,Exit,2975,37,99863,10212,10.23,14097,14.12,-1333.85,-1.34,10979.3,10.98,24
11,Entry long,2024-03-01 15:30,Long,2699,37,99863,10212,10.23,14097,14.12,-1333.85,-1.34,10979.3,10.98,24
12,Exit long,2024-04-24 11:30,Exit,3113,35,109642.75,-687.75,-0.63,2670.5,2.44,-1982.75,-1.81,10291.55,10.29,6
12,Entry long,2024-04-24 10:00,Long,3132.65,35,109642.75,-687.75,-0.63,2670.5,2.44,-1982.75,-1.81,10291.55,10.29,6
13,Exit long,2024-05-21 09:15,Exit,3300.1,33,108735,168.3,0.15,4913.7,4.52,-1452,-1.34,10459.85,10.46,10
13,Entry long,2024-05-18 09:30,Long,3295,33,108735,168.3,0.15,4913.7,4.52,-1452,-1.34,10459.85,10.46,10
14,Exit long,2026-04-21 14:45,Exit,3545.1,29,107152.1,-4344.2,-4.05,118.9,0.11,-4344.2,-4.05,6115.65,6.12,20
14,Entry long,2026-04-21 09:45,Long,3694.9,29,107152.1,-4344.2,-4.05,118.9,0.11,-4344.2,-4.05,6115.65,6.12,20
15,Exit long,2026-04-24 09:15,Exit,4012.8,27,102735,5610.6,5.46,10392.3,10.12,-550.8,-0.54,11726.25,11.73,31
15,Entry long,2026-04-22 15:00,Long,3805,27,102735,5610.6,5.46,10392.3,10.12,-550.8,-0.54,11726.25,11.73,31
16,Exit long,2026-04-29 11:00,Exit,4105.2,26,110580.6,-3845.4,-3.48,0,0.00,-3845.4,-3.48,7880.85,7.88,5
16,Entry long,2026-04-29 09:45,Long,4253.1,26,110580.6,-3845.4,-3.48,0,0.00,-3845.4,-3.48,7880.85,7.88,5
17,Exit long,2026-06-18 09:30,Exit,4744.5,22,105113.8,-734.8,-0.70,1520.2,1.45,-1053.8,-1.00,7146.05,7.15,7
17,Entry long,2026-06-17 14:30,Long,4777.9,22,105113.8,-734.8,-0.70,1520.2,1.45,-1053.8,-1.00,7146.05,7.15,7
18,Exit long,2026-06-19 11:30,Exit,4853.1,21,103044.9,-1129.8,-1.10,1029,1.00,-1129.8,-1.10,6016.25,6.02,7
18,Entry long,2026-06-19 09:45,Long,4906.9,21,103044.9,-1129.8,-1.10,1029,1.00,-1129.8,-1.10,6016.25,6.02,7
