Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-11 13:30,Exit,905,110,99341,209,0.21,5159,5.19,-121,-0.12,209,0.21,25
1,Entry long,2023-07-10 14:00,Long,903.1,110,99341,209,0.21,5159,5.19,-121,-0.12,209,0.21,25
2,Exit long,2023-08-31 10:30,Exit,933.45,105,99225,-1212.75,-1.22,2037,2.05,-1212.75,-1.22,-1003.75,-1.00,7
2,Entry long,2023-08-30 15:30,Long,945,105,99225,-1212.75,-1.22,2037,2.05,-1212.75,-1.22,-1003.75,-1.00,7
3,Exit long,2023-10-31 15:00,Exit,921.2,97,98542.3,-9185.9,-9.32,9952.2,10.10,-9185.9,-9.32,-10189.65,-10.19,1076
3,Entry long,2023-09-01 09:30,Long,1015.9,97,98542.3,-9185.9,-9.32,9952.2,10.10,-9185.9,-9.32,-10189.65,-10.19,1076
4,Exit long,2024-08-08 13:00,Exit,1150,75,88972.5,-2722.5,-3.06,0,0.00,-2722.5,-3.06,-12912.15,-12.91,9
4,Entry long,2024-08-08 10:45,Long,1186.3,75,88972.5,-2722.5,-3.06,0,0.00,-2722.5,-3.06,-12912.15,-12.91,9
5,Exit long,2024-11-19 11:30,Exit,1347.55,64,86182.4,60.8,0.07,1568,1.82,-361.6,-0.42,-12851.35,-12.85,8
5,Entry long,2024-11-19 09:30,Long,1346.6,64,86182.4,60.8,0.07,1568,1.82,-361.6,-0.42,-12851.35,-12.85,8
6,Exit long,2025-07-04 09:30,Exit,1374.9,63,86776.2,-157.5,-0.18,6142.5,7.08,-447.3,-0.52,-13008.85,-13.01,12
6,Entry long,2025-07-03 13:15,Long,1377.4,63,86776.2,-157.5,-0.18,6142.5,7.08,-447.3,-0.52,-13008.85,-13.01,12
7,Exit long,2025-07-24 11:15,Exit,1436.4,58,85973.4,-2662.2,-3.10,1160,1.35,-2662.2,-3.10,-15671.05,-15.67,7
7,Entry long,2025-07-24 09:30,Long,1482.3,58,85973.4,-2662.2,-3.10,1160,1.35,-2662.2,-3.10,-15671.05,-15.67,7
