Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-06 12:00,Exit,193.75,516,99949.2,25.8,0.03,1702.8,1.70,-335.4,-0.34,25.8,0.03,10
1,Entry long,2023-07-06 09:30,Long,193.7,516,99949.2,25.8,0.03,1702.8,1.70,-335.4,-0.34,25.8,0.03,10
2,Exit long,2023-07-20 09:30,Exit,196.45,499,99800,-1771.45,-1.77,823.35,0.83,-1771.45,-1.77,-1745.65,-1.75,27
2,Entry long,2023-07-19 09:30,Long,200,499,99800,-1771.45,-1.77,823.35,0.83,-1771.45,-1.77,-1745.65,-1.75,27
3,Exit long,2023-07-26 11:45,Exit,199.5,483,98145.6,-1787.1,-1.82,772.8,0.79,-1787.1,-1.82,-3532.75,-3.53,7
3,Entry long,2023-07-26 10:00,Long,203.2,483,98145.6,-1787.1,-1.82,772.8,0.79,-1787.1,-1.82,-3532.75,-3.53,7
4,Exit long,2023-09-05 12:45,Exit,213.55,459,96344.1,1675.35,1.74,3786.75,3.93,-780.3,-0.81,-1857.4,-1.86,13
4,Entry long,2023-09-05 09:30,Long,209.9,459,96344.1,1675.35,1.74,3786.75,3.93,-780.3,-0.81,-1857.4,-1.86,13
5,Exit long,2023-09-07 11:00,Exit,222.1,446,98142.3,914.3,0.93,1984.7,2.02,0,0.00,-943.1,-0.94,6
5,Entry long,2023-09-07 09:30,Long,220.05,446,98142.3,914.3,0.93,1984.7,2.02,0,0.00,-943.1,-0.94,6
6,Exit long,2023-09-11 14:45,Exit,225.6,436,98950.2,-588.6,-0.59,239.8,0.24,-632.2,-0.64,-1531.7,-1.53,13
6,Entry long,2023-09-11 11:30,Long,226.95,436,98950.2,-588.6,-0.59,239.8,0.24,-632.2,-0.64,-1531.7,-1.53,13
