Trade number,Type,Date and time,Signal,Price SEK,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-08-11 12:30,Exit,78.8,162,12856.32,-701.86,-0.71,75.4,0.08,-701.86,-0.71,-701.86,-0.70,5
1,Entry long,2023-08-10 19:45,Long,79.35,162,12856.32,-701.86,-0.71,75.4,0.08,-701.86,-0.71,-701.86,-0.70,5
2,Exit long,2023-11-24 18:15,Exit,78.65,156,12367.68,-792.83,-0.81,0,0.00,-867.16,-0.88,-1494.69,-1.49,4
2,Entry long,2023-11-24 14:30,Long,79.3,156,12367.68,-792.83,-0.81,0,0.00,-867.16,-0.88,-1494.69,-1.49,4
3,Exit long,2023-12-06 15:30,Exit,82.7,148,12319.52,-611.73,-0.62,729.37,0.74,-611.73,-0.62,-2106.43,-2.11,7
3,Entry long,2023-12-05 21:45,Long,83.25,148,12319.52,-611.73,-0.62,729.37,0.74,-611.73,-0.62,-2106.43,-2.11,7
4,Exit long,2023-12-14 20:30,Exit,89.1,139,12062.42,2578.44,2.65,3609.82,3.71,0,0.00,472.02,0.47,24
4,Entry long,2023-12-14 13:45,Long,86.8,139,12062.42,2578.44,2.65,3609.82,3.71,0,0.00,472.02,0.47,24
5,Exit long,2023-12-15 17:00,Exit,89.65,136,12264.48,-597.29,-0.60,0,0.00,-1061.86,-1.06,-125.28,-0.13,4
5,Entry long,2023-12-15 16:00,Long,90.2,136,12264.48,-597.29,-0.60,0,0.00,-1061.86,-1.06,-125.28,-0.13,4
