Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-05 10:15,Exit,1030.5,96,99552,-624,-0.63,379.2,0.38,-624,-0.63,-624,-0.62,7
1,Entry long,2023-07-04 15:15,Long,1037,96,99552,-624,-0.63,379.2,0.38,-624,-0.63,-624,-0.62,7
2,Exit long,2023-07-06 13:45,Exit,1046.3,95,98990,408.5,0.41,921.5,0.93,-71.25,-0.07,-215.5,-0.22,15
2,Entry long,2023-07-06 10:00,Long,1042,95,98990,408.5,0.41,921.5,0.93,-71.25,-0.07,-215.5,-0.22,15
3,Exit long,2023-07-20 15:15,Exit,1066.9,92,99065.6,-910.8,-0.92,197.8,0.20,-975.2,-0.98,-1126.3,-1.13,5
3,Entry long,2023-07-20 14:00,Long,1076.8,92,99065.6,-910.8,-0.92,197.8,0.20,-975.2,-0.98,-1126.3,-1.13,5
4,Exit long,2023-07-25 13:45,Exit,1086.6,90,98316,-522,-0.53,324,0.33,-540,-0.55,-1648.3,-1.65,6
4,Entry long,2023-07-25 12:15,Long,1092.4,90,98316,-522,-0.53,324,0.33,-540,-0.55,-1648.3,-1.65,6
5,Exit long,2023-07-27 13:45,Exit,1111.15,87,97579.2,-909.15,-0.93,104.4,0.11,-909.15,-0.93,-2557.45,-2.56,6
5,Entry long,2023-07-27 12:15,Long,1121.6,87,97579.2,-909.15,-0.93,104.4,0.11,-909.15,-0.93,-2557.45,-2.56,6
6,Exit long,2023-08-01 11:30,Exit,1136,86,97149.9,546.1,0.56,1049.2,1.08,-709.5,-0.73,-2011.35,-2.01,12
6,Entry long,2023-07-31 15:15,Long,1129.65,86,97149.9,546.1,0.56,1049.2,1.08,-709.5,-0.73,-2011.35,-2.01,12
7,Exit long,2023-08-03 11:30,Exit,1140.9,85,97261.25,-284.75,-0.29,216.75,0.22,-573.75,-0.59,-2296.1,-2.30,8
7,Entry long,2023-08-03 09:30,Long,1144.25,85,97261.25,-284.75,-0.29,216.75,0.22,-573.75,-0.59,-2296.1,-2.30,8
8,Exit long,2023-08-08 11:00,Exit,1136.1,85,97546,-977.5,-1.00,0,0.00,-1007.25,-1.03,-3273.6,-3.27,4
8,Entry long,2023-08-08 10:00,Long,1147.6,85,97546,-977.5,-1.00,0,0.00,-1007.25,-1.03,-3273.6,-3.27,4
9,Exit long,2023-08-09 11:15,Exit,1163.5,83,96138.9,431.6,0.45,1008.45,1.05,-145.25,-0.15,-2842,-2.84,7
9,Entry long,2023-08-09 09:30,Long,1158.3,83,96138.9,431.6,0.45,1008.45,1.05,-145.25,-0.15,-2842,-2.84,7
10,Exit long,2023-08-09 13:30,Exit,1168.5,82,96165.5,-348.5,-0.36,102.5,0.11,-348.5,-0.36,-3190.5,-3.19,4
10,Entry long,2023-08-09 12:30,Long,1172.75,82,96165.5,-348.5,-0.36,102.5,0.11,-348.5,-0.36,-3190.5,-3.19,4
11,Exit long,2023-08-18 10:45,Exit,1181.25,81,96552,-870.75,-0.90,324,0.34,-1053,-1.09,-4061.25,-4.06,5
11,Entry long,2023-08-18 09:30,Long,1192,81,96552,-870.75,-0.90,324,0.34,-1053,-1.09,-4061.25,-4.06,5
12,Exit long,2024-02-08 10:30,Exit,1231,77,95110.4,-323.4,-0.34,677.6,0.71,-843.15,-0.89,-4384.65,-4.38,58
12,Entry long,2024-02-06 09:30,Long,1235.2,77,95110.4,-323.4,-0.34,677.6,0.71,-843.15,-0.89,-4384.65,-4.38,58
13,Exit long,2024-02-12 15:15,Exit,1266.8,75,95343.75,-333.75,-0.35,483.75,0.51,-360,-0.38,-4718.4,-4.72,6
