Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-11-16 09:15,Exit,3839.6,27,98635.05,5034.15,5.10,5584.95,5.66,-596.7,-0.60,5034.15,5.03,53
1,Entry long,2023-11-13 09:30,Long,3653.15,27,98635.05,5034.15,5.10,5584.95,5.66,-596.7,-0.60,5034.15,5.03,53
2,Exit long,2023-11-17 11:15,Exit,3870.75,27,104623.65,-113.4,-0.11,622.35,0.59,-330.75,-0.32,4920.75,4.92,7
2,Entry long,2023-11-17 09:30,Long,3874.95,27,104623.65,-113.4,-0.11,622.35,0.59,-330.75,-0.32,4920.75,4.92,7
3,Exit long,2023-12-01 13:15,Exit,3930,26,102284,-104,-0.10,416,0.41,-226.2,-0.22,4816.75,4.82,8
3,Entry long,2023-12-01 11:15,Long,3934,26,102284,-104,-0.10,416,0.41,-226.2,-0.22,4816.75,4.82,8
4,Exit long,2023-12-05 09:45,Exit,4153.25,26,104040.3,3944.2,3.79,5159.7,4.96,-2.6,0.00,8760.95,8.76,18
4,Entry long,2023-12-04 12:00,Long,4001.55,26,104040.3,3944.2,3.79,5159.7,4.96,-2.6,0.00,8760.95,8.76,18
5,Exit long,2024-04-08 13:15,Exit,4224.65,25,105048.75,567.5,0.54,2537.5,2.42,0,0.00,9328.45,9.33,7
5,Entry long,2024-04-08 11:30,Long,4201.95,25,105048.75,567.5,0.54,2537.5,2.42,0,0.00,9328.45,9.33,7
6,Exit long,2024-04-12 09:15,Exit,4285.05,25,108305,-1178.75,-1.09,0,0.00,-1178.75,-1.09,8149.7,8.15,4
6,Entry long,2024-04-10 15:00,Long,4332.2,25,108305,-1178.75,-1.09,0,0.00,-1178.75,-1.09,8149.7,8.15,4
7,Exit long,2024-04-12 13:15,Exit,4346.75,24,104541.6,-219.6,-0.21,645.6,0.62,-219.6,-0.21,7930.1,7.93,11
7,Entry long,2024-04-12 10:30,Long,4355.9,24,104541.6,-219.6,-0.21,645.6,0.62,-219.6,-0.21,7930.1,7.93,11
8,Exit long,2024-04-23 09:15,Exit,4457.35,24,107106,-129.6,-0.12,534,0.50,-762,-0.71,7800.5,7.80,20
8,Entry long,2024-04-22 11:00,Long,4462.75,24,107106,-129.6,-0.12,534,0.50,-762,-0.71,7800.5,7.80,20
9,Exit long,2024-04-26 12:30,Exit,4595.5,23,106200.2,-503.7,-0.47,355.35,0.33,-1044.2,-0.98,7296.8,7.30,18
9,Entry long,2024-04-25 14:45,Long,4617.4,23,106200.2,-503.7,-0.47,355.35,0.33,-1044.2,-0.98,7296.8,7.30,18
10,Exit long,2024-04-30 13:00,Exit,4622.35,22,102736.7,-1045,-1.02,442.2,0.43,-1223.2,-1.19,6251.8,6.25,14
10,Entry long,2024-04-30 09:30,Long,4669.85,22,102736.7,-1045,-1.02,442.2,0.43,-1223.2,-1.19,6251.8,6.25,14
11,Exit long,2024-05-24 09:30,Exit,4822.5,22,104365.8,1729.2,1.66,2726.9,2.61,-118.8,-0.11,7981,7.98,26
11,Entry long,2024-05-23 09:45,Long,4743.9,22,104365.8,1729.2,1.66,2726.9,2.61,-118.8,-0.11,7981,7.98,26
12,Exit long,2024-06-18 09:30,Exit,4921.85,21,103252.8,106.05,0.10,1117.2,1.08,-3.15,0.00,8087.05,8.09,7
12,Entry long,2024-06-14 14:30,Long,4916.8,21,103252.8,106.05,0.10,1117.2,1.08,-3.15,0.00,8087.05,8.09,7
13,Exit long,2025-01-03 10:15,Exit,5290.05,20,103416,2385,2.31,3784,3.66,-116,-0.11,10472.05,10.47,21
13,Entry long,2025-01-02 11:45,Long,5170.8,20,103416,2385,2.31,3784,3.66,-116,-0.11,10472.05,10.47,21
14,Exit long,2025-04-16 13:00,Exit,5608.5,19,105991.5,570,0.54,978.5,0.92,-285,-0.27,11042.05,11.04,14
14,Entry long,2025-04-16 09:30,Long,5578.5,19,105991.5,570,0.54,978.5,0.92,-285,-0.27,11042.05,11.04,14
15,Exit long,2025-04-17 15:15,Exit,5681.5,19,107654,294.5,0.27,940.5,0.87,-370.5,-0.34,11336.55,11.34,14
15,Entry long,2025-04-17 11:45,Long,5666,19,107654,294.5,0.27,940.5,0.87,-370.5,-0.34,11336.55,11.34,14
16,Exit long,2025-08-18 11:15,Exit,5946,18,106794,234,0.22,1647,1.54,-99,-0.09,11570.55,11.57,7
16,Entry long,2025-08-18 09:30,Long,5933,18,106794,234,0.22,1647,1.54,-99,-0.09,11570.55,11.57,7
17,Exit long,2025-09-02 14:15,Exit,6353.5,17,106641,1368.5,1.28,1955,1.83,-34,-0.03,12939.05,12.94,26
17,Entry long,2025-09-01 14:30,Long,6273,17,106641,1368.5,1.28,1955,1.83,-34,-0.03,12939.05,12.94,26
18,Exit long,2025-09-04 10:30,Exit,6489.5,16,107408,-3576,-3.33,0,0.00,-3720,-3.46,9363.05,9.36,5
18,Entry long,2025-09-04 09:15,Long,6713,16,107408,-3576,-3.33,0,0.00,-3720,-3.46,9363.05,9.36,5
19,Exit long,2025-09-08 15:15,Exit,6814,16,107464,1560,1.45,2104,1.96,-216,-0.20,10923.05,10.92,17
19,Entry long,2025-09-08 11:00,Long,6716.5,16,107464,1560,1.45,2104,1.96,-216,-0.20,10923.05,10.92,17
20,Exit long,2025-09-11 10:15,Exit,6782,16,110160,-1648,-1.50,632,0.57,-1648,-1.50,9275.05,9.28,57
20,Entry long,2025-09-09 09:30,Long,6885,16,110160,-1648,-1.50,632,0.57,-1648,-1.50,9275.05,9.28,57
21,Exit long,2025-09-17 09:45,Exit,6898.5,15,104265,-787.5,-0.76,0,0.00,-967.5,-0.93,8487.55,8.49,4
