Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-05 13:45,Exit,319.55,310,99665,-604.5,-0.61,248,0.25,-604.5,-0.61,-604.5,-0.60,5
1,Entry long,2023-07-05 12:30,Long,321.5,310,99665,-604.5,-0.61,248,0.25,-604.5,-0.61,-604.5,-0.60,5
2,Exit long,2023-07-06 13:00,Exit,323.1,308,99330,184.8,0.19,693,0.70,-385,-0.39,-419.7,-0.42,7
2,Entry long,2023-07-06 11:15,Long,322.5,308,99330,184.8,0.19,693,0.70,-385,-0.39,-419.7,-0.42,7
3,Exit long,2023-07-14 12:30,Exit,363.55,291,99594.75,6198.3,6.22,13022.25,13.08,-261.9,-0.26,5778.6,5.78,83
3,Entry long,2023-07-11 12:00,Long,342.25,291,99594.75,6198.3,6.22,13022.25,13.08,-261.9,-0.26,5778.6,5.78,83
4,Exit long,2023-08-02 11:30,Exit,390,270,105772.5,-472.5,-0.45,945,0.89,-1417.5,-1.34,5306.1,5.31,16
4,Entry long,2023-08-01 14:15,Long,391.75,270,105772.5,-472.5,-0.45,945,0.89,-1417.5,-1.34,5306.1,5.31,16
5,Exit long,2023-08-04 11:00,Exit,405.3,264,104874,2125.2,2.03,4501.2,4.29,-1174.8,-1.12,7431.3,7.43,37
5,Entry long,2023-08-02 15:15,Long,397.25,264,104874,2125.2,2.03,4501.2,4.29,-1174.8,-1.12,7431.3,7.43,37
6,Exit long,2023-08-14 09:15,Exit,412.7,259,107394.35,-505.05,-0.47,1385.65,1.29,-505.05,-0.47,6926.25,6.93,16
6,Entry long,2023-08-11 12:00,Long,414.65,259,107394.35,-505.05,-0.47,1385.65,1.29,-505.05,-0.47,6926.25,6.93,16
7,Exit long,2023-08-17 14:00,Exit,418.05,253,106753.35,-986.7,-0.92,1404.15,1.32,-986.7,-0.92,5939.55,5.94,14
7,Entry long,2023-08-17 10:30,Long,421.95,253,106753.35,-986.7,-0.92,1404.15,1.32,-986.7,-0.92,5939.55,5.94,14
8,Exit long,2023-08-21 13:30,Exit,423.7,247,105703.65,-1049.75,-0.99,111.15,0.11,-1049.75,-0.99,4889.8,4.89,15
8,Entry long,2023-08-21 09:45,Long,427.95,247,105703.65,-1049.75,-0.99,111.15,0.11,-1049.75,-0.99,4889.8,4.89,15
9,Exit long,2023-08-23 15:15,Exit,423.85,243,104660.1,-1664.55,-1.59,48.6,0.05,-1664.55,-1.59,3225.25,3.23,23
9,Entry long,2023-08-23 09:30,Long,430.7,243,104660.1,-1664.55,-1.59,48.6,0.05,-1664.55,-1.59,3225.25,3.23,23
10,Exit long,2023-08-31 12:15,Exit,436.8,236,103132,-47.2,-0.05,590,0.57,-354,-0.34,3178.05,3.18,9
10,Entry long,2023-08-31 10:00,Long,437,236,103132,-47.2,-0.05,590,0.57,-354,-0.34,3178.05,3.18,9
11,Exit long,2023-09-01 14:00,Exit,449.8,227,102774.25,-669.65,-0.65,170.25,0.17,-669.65,-0.65,2508.4,2.51,18
11,Entry long,2023-09-01 09:30,Long,452.75,227,102774.25,-669.65,-0.65,170.25,0.17,-669.65,-0.65,2508.4,2.51,18
12,Exit long,2023-09-04 13:45,Exit,464.15,224,102132.8,1836.8,1.80,2587.2,2.53,-33.6,-0.03,4345.2,4.35,17
12,Entry long,2023-09-04 09:30,Long,455.95,224,102132.8,1836.8,1.80,2587.2,2.53,-33.6,-0.03,4345.2,4.35,17
13,Exit long,2023-09-05 14:45,Exit,475,222,104007,1443,1.39,5106,4.91,0,0.00,5788.2,5.79,21
13,Entry long,2023-09-05 09:30,Long,468.5,222,104007,1443,1.39,5106,4.91,0,0.00,5788.2,5.79,21
14,Exit long,2024-01-08 13:15,Exit,495.35,210,105535.5,-1512,-1.43,2404.5,2.28,-2635.5,-2.50,4276.2,4.28,13
14,Entry long,2024-01-08 10:00,Long,502.55,210,105535.5,-1512,-1.43,2404.5,2.28,-2635.5,-2.50,4276.2,4.28,13
15,Exit long,2024-01-16 09:15,Exit,532.9,201,103997.4,3115.5,3.00,5909.4,5.68,-1195.95,-1.15,7391.7,7.39,26
15,Entry long,2024-01-15 09:30,Long,517.4,201,103997.4,3115.5,3.00,5909.4,5.68,-1195.95,-1.15,7391.7,7.39,26
16,Exit long,2024-01-25 14:15,Exit,532.45,193,107240.45,-4477.6,-4.18,829.9,0.77,-4477.6,-4.18,2914.1,2.91,4
16,Entry long,2024-01-25 13:15,Long,555.65,193,107240.45,-4477.6,-4.18,829.9,0.77,-4477.6,-4.18,2914.1,2.91,4
17,Exit long,2024-04-22 14:00,Exit,577.5,182,102757.2,2347.8,2.28,10537.8,10.26,-1656.2,-1.61,5261.9,5.26,27
17,Entry long,2024-04-19 14:00,Long,564.6,182,102757.2,2347.8,2.28,10537.8,10.26,-1656.2,-1.61,5261.9,5.26,27
18,Exit long,2024-06-12 14:00,Exit,653,168,105126,4578,4.35,6846,6.51,-369.6,-0.35,9839.9,9.84,17
18,Entry long,2024-06-12 09:45,Long,625.75,168,105126,4578,4.35,6846,6.51,-369.6,-0.35,9839.9,9.84,17
19,Exit long,2024-07-03 14:15,Exit,668.05,158,109549.3,-3997.4,-3.65,1050.7,0.96,-3997.4,-3.65,5842.5,5.84,34
19,Entry long,2024-07-02 12:30,Long,693.35,158,109549.3,-3997.4,-3.65,1050.7,0.96,-3997.4,-3.65,5842.5,5.84,34
20,Exit long,2024-10-17 09:45,Exit,720.05,144,105753.6,-2066.4,-1.95,676.8,0.64,-2066.4,-1.95,3776.1,3.78,12
20,Entry long,2024-10-16 13:30,Long,734.4,144,105753.6,-2066.4,-1.95,676.8,0.64,-2066.4,-1.95,3776.1,3.78,12
