Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2026-04-16 10:30,Exit,258.95,395,99954.75,2330.5,2.33,6379.25,6.38,-553,-0.55,2330.5,2.33,17
1,Entry long,2026-04-15 13:00,Long,253.05,395,99954.75,2330.5,2.33,6379.25,6.38,-553,-0.55,2330.5,2.33,17
2,Exit long,2026-04-20 10:30,Exit,264.8,377,102110.45,-2280.85,-2.23,282.75,0.28,-2525.9,-2.47,49.65,0.05,4
2,Entry long,2026-04-20 09:30,Long,270.85,377,102110.45,-2280.85,-2.23,282.75,0.28,-2525.9,-2.47,49.65,0.05,4
3,Exit long,2026-04-23 14:15,Exit,276.65,353,100040.2,-2382.75,-2.38,1623.8,1.62,-2523.95,-2.52,-2333.1,-2.33,5
3,Entry long,2026-04-23 13:00,Long,283.4,353,100040.2,-2382.75,-2.38,1623.8,1.62,-2523.95,-2.52,-2333.1,-2.33,5
4,Exit long,2026-04-30 09:15,Exit,287,330,97647,-2937,-3.01,924,0.95,-2937,-3.01,-5270.1,-5.27,26
4,Entry long,2026-04-29 09:30,Long,295.9,330,97647,-2937,-3.01,924,0.95,-2937,-3.01,-5270.1,-5.27,26
5,Exit long,2026-07-02 09:15,Exit,350.45,267,94638.15,-1068,-1.13,600.75,0.63,-1068,-1.13,-6338.1,-6.34,5
5,Entry long,2026-07-01 14:45,Long,354.45,267,94638.15,-1068,-1.13,600.75,0.63,-1068,-1.13,-6338.1,-6.34,5
6,Exit long,2026-07-17 11:15,Exit,348.35,253,93647.95,-5515.4,-5.89,139.15,0.15,-5515.4,-5.89,-11853.5,-11.85,34
6,Entry long,2026-07-16 09:30,Long,370.15,253,93647.95,-5515.4,-5.89,139.15,0.15,-5515.4,-5.89,-11853.5,-11.85,34
