Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-13 11:30,Exit,81.7,1261,99997.3,3026.4,3.03,6557.2,6.56,-441.35,-0.44,3026.4,3.03,8
1,Entry long,2023-07-13 09:30,Long,79.3,1261,99997.3,3026.4,3.03,6557.2,6.56,-441.35,-0.44,3026.4,3.03,8
2,Exit long,2023-07-28 09:30,Exit,84,1204,102942,-1806,-1.75,722.4,0.70,-1806,-1.75,1220.4,1.22,10
2,Entry long,2023-07-27 13:45,Long,85.5,1204,102942,-1806,-1.75,722.4,0.70,-1806,-1.75,1220.4,1.22,10
3,Exit long,2023-08-07 11:45,Exit,100.3,999,101148.75,-949.05,-0.94,1598.4,1.58,-1048.95,-1.04,271.35,0.27,5
3,Entry long,2023-08-07 10:30,Long,101.25,999,101148.75,-949.05,-0.94,1598.4,1.58,-1048.95,-1.04,271.35,0.27,5
4,Exit long,2023-09-15 13:30,Exit,102.9,968,100188,-580.8,-0.58,919.6,0.92,-580.8,-0.58,-309.45,-0.31,7
4,Entry long,2023-09-15 11:45,Long,103.5,968,100188,-580.8,-0.58,919.6,0.92,-580.8,-0.58,-309.45,-0.31,7
5,Exit long,2023-09-18 13:30,Exit,102.8,949,99502.65,-1945.45,-1.96,142.35,0.14,-1945.45,-1.96,-2254.9,-2.25,16
5,Entry long,2023-09-18 09:30,Long,104.85,949,99502.65,-1945.45,-1.96,142.35,0.14,-1945.45,-1.96,-2254.9,-2.25,16
6,Exit long,2023-10-04 09:15,Exit,104.15,926,97600.4,-1157.5,-1.19,463,0.47,-1157.5,-1.19,-3412.4,-3.41,5
6,Entry long,2023-10-03 14:45,Long,105.4,926,97600.4,-1157.5,-1.19,463,0.47,-1157.5,-1.19,-3412.4,-3.41,5
7,Exit long,2023-10-05 15:00,Exit,105.2,898,96490.1,-2020.5,-2.09,224.5,0.23,-2020.5,-2.09,-5432.9,-5.43,5
7,Entry long,2023-10-05 13:45,Long,107.45,898,96490.1,-2020.5,-2.09,224.5,0.23,-2020.5,-2.09,-5432.9,-5.43,5
8,Exit long,2023-10-11 11:15,Exit,107.7,871,94459.95,-653.25,-0.69,609.7,0.65,-783.9,-0.83,-6086.15,-6.09,5
8,Entry long,2023-10-11 10:00,Long,108.45,871,94459.95,-653.25,-0.69,609.7,0.65,-783.9,-0.83,-6086.15,-6.09,5
9,Exit long,2023-10-12 11:45,Exit,112.05,856,93903.2,2011.6,2.14,3038.8,3.24,-599.2,-0.64,-4074.55,-4.07,12
9,Entry long,2023-10-11 15:30,Long,109.7,856,93903.2,2011.6,2.14,3038.8,3.24,-599.2,-0.64,-4074.55,-4.07,12
10,Exit long,2023-10-18 09:30,Exit,113,845,95865.25,-380.25,-0.40,1394.25,1.45,-380.25,-0.40,-4454.8,-4.45,11
10,Entry long,2023-10-17 13:30,Long,113.45,845,95865.25,-380.25,-0.40,1394.25,1.45,-380.25,-0.40,-4454.8,-4.45,11
