Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-06 11:00,Exit,247.8,414,99939.6,2649.6,2.65,4388.4,4.39,-103.5,-0.10,2649.6,2.65,32
1,Entry long,2023-07-05 09:45,Long,241.4,414,99939.6,2649.6,2.65,4388.4,4.39,-103.5,-0.10,2649.6,2.65,32
2,Exit long,2023-07-10 12:00,Exit,250.3,406,102474.4,-852.6,-0.83,243.6,0.24,-852.6,-0.83,1797,1.80,5
2,Entry long,2023-07-10 10:45,Long,252.4,406,102474.4,-852.6,-0.83,243.6,0.24,-852.6,-0.83,1797,1.80,5
3,Exit long,2023-07-13 11:30,Exit,254.55,400,101700,120,0.12,880,0.87,-1040,-1.02,1917,1.92,27
3,Entry long,2023-07-12 11:30,Long,254.25,400,101700,120,0.12,880,0.87,-1040,-1.02,1917,1.92,27
4,Exit long,2023-07-14 11:00,Exit,254.75,396,101732.4,-851.4,-0.84,217.8,0.21,-990,-0.97,1065.6,1.07,5
4,Entry long,2023-07-14 09:45,Long,256.9,396,101732.4,-851.4,-0.84,217.8,0.21,-990,-0.97,1065.6,1.07,5
5,Exit long,2023-08-01 13:15,Exit,261.7,391,100878,1446.7,1.43,3401.7,3.37,-821.1,-0.81,2512.3,2.51,13
5,Entry long,2023-08-01 10:00,Long,258,391,100878,1446.7,1.43,3401.7,3.37,-821.1,-0.81,2512.3,2.51,13
6,Exit long,2023-08-14 09:15,Exit,266.4,378,102400.2,-1701,-1.66,37.8,0.04,-1701,-1.66,811.3,0.81,6
6,Entry long,2023-08-11 14:30,Long,270.9,378,102400.2,-1701,-1.66,37.8,0.04,-1701,-1.66,811.3,0.81,6
7,Exit long,2023-08-24 11:00,Exit,267.2,370,100695.5,-1831.5,-1.82,18.5,0.02,-1831.5,-1.82,-1020.2,-1.02,33
7,Entry long,2023-08-23 09:30,Long,272.15,370,100695.5,-1831.5,-1.82,18.5,0.02,-1831.5,-1.82,-1020.2,-1.02,33
8,Exit long,2023-09-04 15:00,Exit,272.65,361,98932.05,-505.4,-0.51,992.75,1.00,-649.8,-0.66,-1525.6,-1.53,6
8,Entry long,2023-09-04 13:30,Long,274.05,361,98932.05,-505.4,-0.51,992.75,1.00,-649.8,-0.66,-1525.6,-1.53,6
9,Exit long,2023-09-12 09:30,Exit,275.1,353,98204.6,-1094.3,-1.11,547.15,0.56,-1094.3,-1.11,-2619.9,-2.62,12
9,Entry long,2023-09-11 13:15,Long,278.2,353,98204.6,-1094.3,-1.11,547.15,0.56,-1094.3,-1.11,-2619.9,-2.62,12
10,Exit long,2023-11-20 11:15,Exit,281.9,347,97125.3,694,0.71,2220.8,2.29,-225.55,-0.23,-1925.9,-1.93,13
10,Entry long,2023-11-17 14:45,Long,279.9,347,97125.3,694,0.71,2220.8,2.29,-225.55,-0.23,-1925.9,-1.93,13
11,Exit long,2023-12-01 12:15,Exit,292.5,337,97999.6,572.9,0.58,1348,1.38,-387.55,-0.40,-1353,-1.35,11
11,Entry long,2023-12-01 09:30,Long,290.8,337,97999.6,572.9,0.58,1348,1.38,-387.55,-0.40,-1353,-1.35,11
12,Exit long,2023-12-19 09:30,Exit,304.4,328,98596.8,1246.4,1.26,2492.8,2.53,-1361.2,-1.38,-106.6,-0.11,19
12,Entry long,2023-12-18 11:30,Long,300.6,328,98596.8,1246.4,1.26,2492.8,2.53,-1361.2,-1.38,-106.6,-0.11,19
13,Exit long,2023-12-29 13:45,Exit,316.65,311,99753.25,-1275.1,-1.28,1088.5,1.09,-1399.5,-1.40,-1381.7,-1.38,5
13,Entry long,2023-12-29 12:30,Long,320.75,311,99753.25,-1275.1,-1.28,1088.5,1.09,-1399.5,-1.40,-1381.7,-1.38,5
14,Exit long,2024-01-01 12:45,Exit,322.3,303,98353.8,-696.9,-0.71,181.8,0.18,-696.9,-0.71,-2078.6,-2.08,5
14,Entry long,2024-01-01 11:30,Long,324.6,303,98353.8,-696.9,-0.71,181.8,0.18,-696.9,-0.71,-2078.6,-2.08,5
15,Exit long,2024-01-05 10:45,Exit,322.65,297,97564.5,-1737.45,-1.78,44.55,0.05,-1737.45,-1.78,-3816.05,-3.82,37
15,Entry long,2024-01-03 15:00,Long,328.5,297,97564.5,-1737.45,-1.78,44.55,0.05,-1737.45,-1.78,-3816.05,-3.82,37
16,Exit long,2024-01-08 09:30,Exit,326.15,291,95942.7,-1033.05,-1.08,451.05,0.47,-1033.05,-1.08,-4849.1,-4.85,5
16,Entry long,2024-01-05 15:00,Long,329.7,291,95942.7,-1033.05,-1.08,451.05,0.47,-1033.05,-1.08,-4849.1,-4.85,5
17,Exit long,2024-01-11 14:00,Exit,336.45,284,94856,695.8,0.73,1278,1.35,-113.6,-0.12,-4153.3,-4.15,10
17,Entry long,2024-01-11 11:30,Long,334,284,94856,695.8,0.73,1278,1.35,-113.6,-0.12,-4153.3,-4.15,10
18,Exit long,2024-01-12 09:30,Exit,335.7,282,95640.3,-972.9,-1.02,747.3,0.78,-972.9,-1.02,-5126.2,-5.13,4
18,Entry long,2024-01-11 15:15,Long,339.15,282,95640.3,-972.9,-1.02,747.3,0.78,-972.9,-1.02,-5126.2,-5.13,4
19,Exit long,2024-02-02 11:45,Exit,343.9,275,94600,-27.5,-0.03,962.5,1.02,-880,-0.93,-5153.7,-5.15,7
19,Entry long,2024-02-02 10:00,Long,344,275,94600,-27.5,-0.03,962.5,1.02,-880,-0.93,-5153.7,-5.15,7
20,Exit long,2024-02-05 14:00,Exit,350,272,94737.6,462.4,0.49,1550.4,1.64,-108.8,-0.11,-4691.3,-4.69,12
20,Entry long,2024-02-05 11:00,Long,348.3,272,94737.6,462.4,0.49,1550.4,1.64,-108.8,-0.11,-4691.3,-4.69,12
21,Exit long,2024-04-09 09:15,Exit,374.8,264,95119.2,3828,4.02,6124.8,6.44,-488.4,-0.51,-863.3,-0.86,15
21,Entry long,2024-04-08 12:15,Long,360.3,264,95119.2,3828,4.02,6124.8,6.44,-488.4,-0.51,-863.3,-0.86,15
22,Exit long,2024-04-15 14:15,Exit,407.8,249,99002.4,2539.8,2.57,6486.45,6.55,-435.75,-0.44,1676.5,1.68,26
22,Entry long,2024-04-12 14:30,Long,397.6,249,99002.4,2539.8,2.57,6486.45,6.55,-435.75,-0.44,1676.5,1.68,26
23,Exit long,2024-04-16 13:15,Exit,437.65,234,101439,971.1,0.96,3393,3.34,-1053,-1.04,2647.6,2.65,12
23,Entry long,2024-04-16 10:15,Long,433.5,234,101439,971.1,0.96,3393,3.34,-1053,-1.04,2647.6,2.65,12
24,Exit long,2024-05-21 11:30,Exit,478.6,210,102186,-1680,-1.64,283.5,0.28,-1680,-1.64,967.6,0.97,7
24,Entry long,2024-05-21 09:45,Long,486.6,210,102186,-1680,-1.64,283.5,0.28,-1680,-1.64,967.6,0.97,7
25,Exit long,2024-05-24 13:45,Exit,485,204,100898.4,-1958.4,-1.94,20.4,0.02,-1958.4,-1.94,-990.8,-0.99,4
25,Entry long,2024-05-24 12:45,Long,494.6,204,100898.4,-1958.4,-1.94,20.4,0.02,-1958.4,-1.94,-990.8,-0.99,4
26,Exit long,2024-05-28 12:15,Exit,508.8,198,98881.2,1861.2,1.88,3564,3.60,-1445.4,-1.46,870.4,0.87,17
26,Entry long,2024-05-27 14:45,Long,499.4,198,98881.2,1861.2,1.88,3564,3.60,-1445.4,-1.46,870.4,0.87,17
27,Exit long,2024-06-06 11:30,Exit,516.3,193,100466.15,-820.25,-0.82,636.9,0.63,-820.25,-0.82,50.15,0.05,7
27,Entry long,2024-06-06 09:45,Long,520.55,193,100466.15,-820.25,-0.82,636.9,0.63,-820.25,-0.82,50.15,0.05,7
28,Exit long,2024-06-11 12:30,Exit,533,189,99820.35,916.65,0.92,2362.5,2.37,-1351.35,-1.35,966.8,0.97,69
28,Entry long,2024-06-06 15:30,Long,528.15,189,99820.35,916.65,0.92,2362.5,2.37,-1351.35,-1.35,966.8,0.97,69
29,Exit long,2024-06-12 15:00,Exit,540,185,100825,-925,-0.92,185,0.18,-925,-0.92,41.8,0.04,7
29,Entry long,2024-06-12 13:15,Long,545,185,100825,-925,-0.92,185,0.18,-925,-0.92,41.8,0.04,7
30,Exit long,2024-06-19 09:15,Exit,563.1,181,99703.85,2217.25,2.22,2986.5,3.00,-226.25,-0.23,2259.05,2.26,26
30,Entry long,2024-06-18 09:30,Long,550.85,181,99703.85,2217.25,2.22,2986.5,3.00,-226.25,-0.23,2259.05,2.26,26
31,Exit long,2024-06-20 13:45,Exit,571.55,179,102074.75,232.7,0.23,1065.05,1.04,-1029.25,-1.01,2491.75,2.49,17
31,Entry long,2024-06-20 09:30,Long,570.25,179,102074.75,232.7,0.23,1065.05,1.04,-1029.25,-1.01,2491.75,2.49,17
