Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-06 14:30,Exit,109.95,929,100006.85,2136.7,2.14,3483.75,3.48,-92.9,-0.09,2136.7,2.14,12
1,Entry long,2023-07-06 11:30,Long,107.65,929,100006.85,2136.7,2.14,3483.75,3.48,-92.9,-0.09,2136.7,2.14,12
2,Exit long,2023-07-07 11:15,Exit,110.05,914,102139.5,-1553.8,-1.52,319.9,0.31,-1553.8,-1.52,582.9,0.58,7
2,Entry long,2023-07-07 09:30,Long,111.75,914,102139.5,-1553.8,-1.52,319.9,0.31,-1553.8,-1.52,582.9,0.58,7
3,Exit long,2023-07-21 14:45,Exit,111.65,896,100531.2,-492.8,-0.49,89.6,0.09,-492.8,-0.49,90.1,0.09,16
3,Entry long,2023-07-21 10:45,Long,112.2,896,100531.2,-492.8,-0.49,89.6,0.09,-492.8,-0.49,90.1,0.09,16
4,Exit long,2023-07-26 10:45,Exit,116.3,874,100160.4,1485.8,1.48,2534.6,2.53,-349.6,-0.35,1575.9,1.58,26
4,Entry long,2023-07-25 11:00,Long,114.6,874,100160.4,1485.8,1.48,2534.6,2.53,-349.6,-0.35,1575.9,1.58,26
5,Exit long,2023-09-05 10:45,Exit,124.45,802,101453,-1644.1,-1.62,481.2,0.47,-1644.1,-1.62,-68.2,-0.07,5
5,Entry long,2023-09-05 09:30,Long,126.5,802,101453,-1644.1,-1.62,481.2,0.47,-1644.1,-1.62,-68.2,-0.07,5
6,Exit long,2023-09-11 10:45,Exit,127.15,782,99783.2,-351.9,-0.35,1524.9,1.53,-391,-0.39,-420.1,-0.42,26
6,Entry long,2023-09-08 11:00,Long,127.6,782,99783.2,-351.9,-0.35,1524.9,1.53,-391,-0.39,-420.1,-0.42,26
7,Exit long,2023-10-13 13:15,Exit,128.65,766,99503.4,-957.5,-0.96,1723.5,1.73,-957.5,-0.96,-1377.6,-1.38,18
7,Entry long,2023-10-12 15:30,Long,129.9,766,99503.4,-957.5,-0.96,1723.5,1.73,-957.5,-0.96,-1377.6,-1.38,18
8,Exit long,2023-10-17 14:00,Exit,130.35,745,98563.5,-1452.75,-1.47,0,0.00,-1452.75,-1.47,-2830.35,-2.83,14
8,Entry long,2023-10-17 10:30,Long,132.3,745,98563.5,-1452.75,-1.47,0,0.00,-1452.75,-1.47,-2830.35,-2.83,14
9,Exit long,2023-11-30 15:00,Exit,131.85,729,97066.35,-947.7,-0.98,765.45,0.79,-947.7,-0.98,-3778.05,-3.78,12
9,Entry long,2023-11-30 12:00,Long,133.15,729,97066.35,-947.7,-0.98,765.45,0.79,-947.7,-0.98,-3778.05,-3.78,12
10,Exit long,2023-12-01 11:15,Exit,133.05,715,96203.25,-1072.5,-1.11,286,0.30,-1072.5,-1.11,-4850.55,-4.85,6
10,Entry long,2023-12-01 09:45,Long,134.55,715,96203.25,-1072.5,-1.11,286,0.30,-1072.5,-1.11,-4850.55,-4.85,6
11,Exit long,2023-12-14 12:45,Exit,145.6,653,95076.8,0,0.00,1175.4,1.24,-195.9,-0.21,-4850.55,-4.85,6
11,Entry long,2023-12-14 11:15,Long,145.6,653,95076.8,0,0.00,1175.4,1.24,-195.9,-0.21,-4850.55,-4.85,6
12,Exit long,2023-12-15 11:00,Exit,147,644,95054.4,-386.4,-0.41,998.2,1.05,-805,-0.85,-5236.95,-5.24,6
12,Entry long,2023-12-15 09:30,Long,147.6,644,95054.4,-386.4,-0.41,998.2,1.05,-805,-0.85,-5236.95,-5.24,6
13,Exit long,2023-12-26 11:15,Exit,153.8,617,94771.2,123.4,0.13,2529.7,2.67,-61.7,-0.07,-5113.55,-5.11,7
13,Entry long,2023-12-26 09:30,Long,153.6,617,94771.2,123.4,0.13,2529.7,2.67,-61.7,-0.07,-5113.55,-5.11,7
14,Exit long,2023-12-29 14:15,Exit,161.65,578,94792,-1358.3,-1.43,57.8,0.06,-1416.1,-1.49,-6471.85,-6.47,4
14,Entry long,2023-12-29 13:15,Long,164,578,94792,-1358.3,-1.43,57.8,0.06,-1416.1,-1.49,-6471.85,-6.47,4
15,Exit long,2024-01-01 11:30,Exit,167.15,557,93436.75,-334.2,-0.36,891.2,0.95,-919.05,-0.98,-6806.05,-6.81,8
15,Entry long,2024-01-01 09:30,Long,167.75,557,93436.75,-334.2,-0.36,891.2,0.95,-919.05,-0.98,-6806.05,-6.81,8
16,Exit long,2024-01-30 13:00,Exit,174.4,529,93130.45,-872.85,-0.94,264.5,0.28,-872.85,-0.94,-7678.9,-7.68,9
16,Entry long,2024-01-30 10:45,Long,176.05,529,93130.45,-872.85,-0.94,264.5,0.28,-872.85,-0.94,-7678.9,-7.68,9
17,Exit long,2024-02-05 14:00,Exit,184.35,508,92252.8,1397,1.51,2489.2,2.70,-381,-0.41,-6281.9,-6.28,18
17,Entry long,2024-02-05 09:30,Long,181.6,508,92252.8,1397,1.51,2489.2,2.70,-381,-0.41,-6281.9,-6.28,18
18,Exit long,2024-02-19 11:30,Exit,185.05,501,93636.9,-926.85,-0.99,200.4,0.21,-1052.1,-1.12,-7208.75,-7.21,4
18,Entry long,2024-02-19 10:30,Long,186.9,501,93636.9,-926.85,-0.99,200.4,0.21,-1052.1,-1.12,-7208.75,-7.21,4
19,Exit long,2024-03-06 09:15,Exit,192.8,493,92659.35,2391.05,2.58,4141.2,4.47,-542.3,-0.59,-4817.7,-4.82,53
19,Entry long,2024-03-04 09:30,Long,187.95,493,92659.35,2391.05,2.58,4141.2,4.47,-542.3,-0.59,-4817.7,-4.82,53
20,Exit long,2024-04-18 13:15,Exit,207,447,95099.25,-2570.25,-2.70,268.2,0.28,-2570.25,-2.70,-7387.95,-7.39,15
20,Entry long,2024-04-18 09:30,Long,212.75,447,95099.25,-2570.25,-2.70,268.2,0.28,-2570.25,-2.70,-7387.95,-7.39,15
21,Exit long,2024-07-16 12:15,Exit,234.53,390,92586,-1119.3,-1.21,666.9,0.72,-1119.3,-1.21,-8507.25,-8.51,14
21,Entry long,2024-07-15 15:15,Long,237.4,390,92586,-1119.3,-1.21,666.9,0.72,-1119.3,-1.21,-8507.25,-8.51,14
22,Exit long,2024-07-31 11:30,Exit,242.5,379,90997.9,909.6,1.00,2349.8,2.58,-41.69,-0.05,-7597.65,-7.60,9
22,Entry long,2024-07-31 09:15,Long,240.1,379,90997.9,909.6,1.00,2349.8,2.58,-41.69,-0.05,-7597.65,-7.60,9
