Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-05 14:00,Exit,1065,93,99324,-279,-0.28,69.75,0.07,-279,-0.28,-279,-0.28,4
1,Entry long,2023-07-05 13:00,Long,1068,93,99324,-279,-0.28,69.75,0.07,-279,-0.28,-279,-0.28,4
2,Exit long,2023-07-10 11:15,Exit,1091.65,89,99657.75,-2500.9,-2.51,1432.9,1.44,-2500.9,-2.51,-2779.9,-2.78,7
2,Entry long,2023-07-10 09:30,Long,1119.75,89,99657.75,-2500.9,-2.51,1432.9,1.44,-2500.9,-2.51,-2779.9,-2.78,7
3,Exit long,2023-07-17 13:15,Exit,1174.6,83,96529,962.8,1.00,1743,1.81,-514.6,-0.53,-1817.1,-1.82,15
3,Entry long,2023-07-17 09:30,Long,1163,83,96529,962.8,1.00,1743,1.81,-514.6,-0.53,-1817.1,-1.82,15
4,Exit long,2023-07-21 12:15,Exit,1238,80,97840,1200,1.23,3600,3.68,-524,-0.54,-617.1,-0.62,38
4,Entry long,2023-07-20 09:30,Long,1223,80,97840,1200,1.23,3600,3.68,-524,-0.54,-617.1,-0.62,38
5,Exit long,2023-07-28 11:15,Exit,1287.85,77,98055.65,1108.8,1.13,1809.5,1.85,-1786.4,-1.82,491.7,0.49,21
5,Entry long,2023-07-27 12:45,Long,1273.45,77,98055.65,1108.8,1.13,1809.5,1.85,-1786.4,-1.82,491.7,0.49,21
6,Exit long,2023-08-09 11:00,Exit,1669.55,61,100040,1802.55,1.80,7808,7.80,-1159,-1.16,2294.25,2.29,7
6,Entry long,2023-08-09 09:15,Long,1640,61,100040,1802.55,1.80,7808,7.80,-1159,-1.16,2294.25,2.29,7
7,Exit long,2023-12-14 15:00,Exit,1825.2,55,101475,-1089,-1.07,687.5,0.68,-1089,-1.07,1205.25,1.21,7
7,Entry long,2023-12-14 13:15,Long,1845,55,101475,-1089,-1.07,687.5,0.68,-1089,-1.07,1205.25,1.21,7
8,Exit long,2023-12-19 15:15,Exit,1858.05,54,100483.2,-148.5,-0.15,766.8,0.76,-148.5,-0.15,1056.75,1.06,16
8,Entry long,2023-12-19 11:15,Long,1860.8,54,100483.2,-148.5,-0.15,766.8,0.76,-148.5,-0.15,1056.75,1.06,16
9,Exit long,2023-12-20 13:30,Exit,1868.4,53,99767.2,-742,-0.74,402.8,0.40,-742,-0.74,314.75,0.31,9
9,Entry long,2023-12-20 11:15,Long,1882.4,53,99767.2,-742,-0.74,402.8,0.40,-742,-0.74,314.75,0.31,9
10,Exit long,2023-12-28 09:15,Exit,1945.05,51,100215,-1017.45,-1.02,1632,1.63,-1275,-1.27,-702.7,-0.70,9
10,Entry long,2023-12-27 13:45,Long,1965,51,100215,-1017.45,-1.02,1632,1.63,-1275,-1.27,-702.7,-0.70,9
11,Exit long,2024-01-04 11:00,Exit,2039.3,49,99004.5,921.2,0.93,1817.9,1.84,-884.45,-0.89,218.5,0.22,33
11,Entry long,2024-01-03 09:30,Long,2020.5,49,99004.5,921.2,0.93,1817.9,1.84,-884.45,-0.89,218.5,0.22,33
12,Exit long,2024-02-07 10:15,Exit,2091.65,48,99552,847.2,0.85,5760,5.79,-122.4,-0.12,1065.7,1.07,30
12,Entry long,2024-02-06 09:30,Long,2074,48,99552,847.2,0.85,5760,5.79,-122.4,-0.12,1065.7,1.07,30
13,Exit long,2024-08-06 11:15,Exit,2167.3,45,99411.75,-1883.25,-1.89,328.5,0.33,-1883.25,-1.89,-817.55,-0.82,6
13,Entry long,2024-08-06 09:45,Long,2209.15,45,99411.75,-1883.25,-1.89,328.5,0.33,-1883.25,-1.89,-817.55,-0.82,6
14,Exit long,2026-05-20 11:00,Exit,2232.9,43,98418.4,-2403.7,-2.44,77.4,0.08,-2403.7,-2.44,-3221.25,-3.22,6
14,Entry long,2026-05-20 09:30,Long,2288.8,43,98418.4,-2403.7,-2.44,77.4,0.08,-2403.7,-2.44,-3221.25,-3.22,6
15,Exit long,2026-05-25 10:30,Exit,2346,40,95196,-1356,-1.42,120,0.13,-1504,-1.58,-4577.25,-4.58,4
15,Entry long,2026-05-25 09:30,Long,2379.9,40,95196,-1356,-1.42,120,0.13,-1504,-1.58,-4577.25,-4.58,4
16,Exit long,2026-06-30 13:45,Exit,2497,39,94029,3354,3.57,4574.7,4.87,-284.7,-0.30,-1223.25,-1.22,17
16,Entry long,2026-06-30 09:30,Long,2411,39,94029,3354,3.57,4574.7,4.87,-284.7,-0.30,-1223.25,-1.22,17
17,Exit long,2026-07-08 09:45,Exit,2530.6,38,97386.4,-1223.6,-1.26,364.8,0.37,-1706.2,-1.75,-2446.85,-2.45,1
17,Entry long,2026-07-08 09:30,Long,2562.8,38,97386.4,-1223.6,-1.26,364.8,0.37,-1706.2,-1.75,-2446.85,-2.45,1
