Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-07 09:15,Exit,44.5,2247,99879.15,112.35,0.11,786.45,0.79,-449.4,-0.45,112.35,0.11,18
1,Entry long,2023-07-06 11:30,Long,44.45,2247,99879.15,112.35,0.11,786.45,0.79,-449.4,-0.45,112.35,0.11,18
2,Exit long,2023-07-26 12:30,Exit,48.6,2178,99970.2,5880.6,5.88,7187.4,7.19,-1089,-1.09,5992.95,5.99,65
2,Entry long,2023-07-24 09:45,Long,45.9,2178,99970.2,5880.6,5.88,7187.4,7.19,-1089,-1.09,5992.95,5.99,65
3,Exit long,2023-07-27 14:45,Exit,48.95,2149,105838.25,-644.7,-0.61,1181.95,1.12,-752.15,-0.71,5348.25,5.35,11
3,Entry long,2023-07-27 12:00,Long,49.25,2149,105838.25,-644.7,-0.61,1181.95,1.12,-752.15,-0.71,5348.25,5.35,11
4,Exit long,2023-08-01 10:30,Exit,51.55,2022,105346.2,-1112.1,-1.06,0,0.00,-1112.1,-1.06,4236.15,4.24,4
4,Entry long,2023-08-01 09:30,Long,52.1,2022,105346.2,-1112.1,-1.06,0,0.00,-1112.1,-1.06,4236.15,4.24,4
5,Exit long,2023-08-08 11:30,Exit,51.75,1991,104029.75,-995.5,-0.96,497.75,0.48,-1095.05,-1.05,3240.65,3.24,8
5,Entry long,2023-08-08 09:30,Long,52.25,1991,104029.75,-995.5,-0.96,497.75,0.48,-1095.05,-1.05,3240.65,3.24,8
6,Exit long,2023-08-22 11:45,Exit,56.85,1860,103137,2604,2.52,3813,3.70,-651,-0.63,5844.65,5.84,16
6,Entry long,2023-08-21 14:30,Long,55.45,1860,103137,2604,2.52,3813,3.70,-651,-0.63,5844.65,5.84,16
7,Exit long,2023-08-23 13:15,Exit,59.4,1834,105638.4,3301.2,3.13,4860.1,4.60,-183.4,-0.17,9145.85,9.15,23
7,Entry long,2023-08-22 14:15,Long,57.6,1834,105638.4,3301.2,3.13,4860.1,4.60,-183.4,-0.17,9145.85,9.15,23
8,Exit long,2023-08-24 11:45,Exit,64.3,1779,109141.65,5248.05,4.81,8628.15,7.91,0,0.00,14393.9,14.39,9
8,Entry long,2023-08-24 09:30,Long,61.35,1779,109141.65,5248.05,4.81,8628.15,7.91,0,0.00,14393.9,14.39,9
9,Exit long,2023-12-11 15:15,Exit,73.1,1558,114513,-623.2,-0.54,1402.2,1.22,-1012.7,-0.88,13770.7,13.77,7
9,Entry long,2023-12-11 13:30,Long,73.5,1558,114513,-623.2,-0.54,1402.2,1.22,-1012.7,-0.88,13770.7,13.77,7
10,Exit long,2023-12-13 14:15,Exit,74.35,1523,113768.1,-533.05,-0.47,2132.2,1.87,-609.2,-0.54,13237.65,13.24,5
10,Entry long,2023-12-13 13:00,Long,74.7,1523,113768.1,-533.05,-0.47,2132.2,1.87,-609.2,-0.54,13237.65,13.24,5
11,Exit long,2023-12-14 15:15,Exit,77.15,1458,113140.8,-656.1,-0.58,1895.4,1.68,-1749.6,-1.55,12581.55,12.58,28
11,Entry long,2023-12-13 15:00,Long,77.6,1458,113140.8,-656.1,-0.58,1895.4,1.68,-1749.6,-1.55,12581.55,12.58,28
12,Exit long,2024-01-01 12:15,Exit,80.75,1388,112566.8,-485.8,-0.43,1665.6,1.48,-1804.4,-1.60,12095.75,12.10,20
12,Entry long,2023-12-29 14:00,Long,81.1,1388,112566.8,-485.8,-0.43,1665.6,1.48,-1804.4,-1.60,12095.75,12.10,20
13,Exit long,2024-01-04 12:00,Exit,82.3,1359,112117.5,-271.8,-0.24,951.3,0.85,-1698.75,-1.52,11823.95,11.82,15
13,Entry long,2024-01-03 15:00,Long,82.5,1359,112117.5,-271.8,-0.24,951.3,0.85,-1698.75,-1.52,11823.95,11.82,15
14,Exit long,2024-02-08 10:00,Exit,90.5,1245,111738.75,933.75,0.84,3486,3.12,-2116.5,-1.89,12757.7,12.76,29
14,Entry long,2024-02-07 09:30,Long,89.75,1245,111738.75,933.75,0.84,3486,3.12,-2116.5,-1.89,12757.7,12.76,29
15,Exit long,2024-02-20 10:30,Exit,91.65,1201,112533.7,-2462.05,-2.19,780.65,0.69,-2462.05,-2.19,10295.65,10.30,4
15,Entry long,2024-02-20 09:30,Long,93.7,1201,112533.7,-2462.05,-2.19,780.65,0.69,-2462.05,-2.19,10295.65,10.30,4
16,Exit long,2024-06-18 13:00,Exit,96.02,1146,110222.28,-183.36,-0.17,481.32,0.44,-309.42,-0.28,10112.29,10.11,9
16,Entry long,2024-06-18 10:45,Long,96.18,1146,110222.28,-183.36,-0.17,481.32,0.44,-309.42,-0.28,10112.29,10.11,9
17,Exit long,2024-06-19 13:45,Exit,99.3,1108,110124.12,-99.72,-0.09,1451.48,1.32,-210.52,-0.19,10012.57,10.01,5
17,Entry long,2024-06-19 12:30,Long,99.39,1108,110124.12,-99.72,-0.09,1451.48,1.32,-210.52,-0.19,10012.57,10.01,5
18,Exit long,2024-07-31 12:45,Exit,101.91,1084,109917.6,552.84,0.50,2547.4,2.32,-1550.12,-1.41,10565.41,10.57,16
18,Entry long,2024-07-30 15:30,Long,101.4,1084,109917.6,552.84,0.50,2547.4,2.32,-1550.12,-1.41,10565.41,10.57,16
19,Exit long,2025-11-19 10:15,Exit,103.39,1062,110522.34,-722.16,-0.65,828.36,0.75,-722.16,-0.65,9843.25,9.84,10
19,Entry long,2025-11-18 14:30,Long,104.07,1062,110522.34,-722.16,-0.65,828.36,0.75,-722.16,-0.65,9843.25,9.84,10
20,Exit long,2025-11-21 13:30,Exit,104.7,1042,109837.22,-739.82,-0.67,83.36,0.08,-739.82,-0.67,9103.43,9.10,9
20,Entry long,2025-11-21 11:15,Long,105.41,1042,109837.22,-739.82,-0.67,83.36,0.08,-739.82,-0.67,9103.43,9.10,9
21,Exit long,2025-11-25 13:30,Exit,104.65,1031,109028.25,-1134.1,-1.04,206.2,0.19,-1134.1,-1.04,7969.33,7.97,12
21,Entry long,2025-11-25 10:30,Long,105.75,1031,109028.25,-1134.1,-1.04,206.2,0.19,-1134.1,-1.04,7969.33,7.97,12
22,Exit long,2025-11-26 13:15,Exit,106.26,1018,108060.7,111.98,0.10,692.24,0.64,-732.96,-0.68,8081.31,8.08,15
22,Entry long,2025-11-26 09:30,Long,106.15,1018,108060.7,111.98,0.10,692.24,0.64,-732.96,-0.68,8081.31,8.08,15
23,Exit long,2025-11-28 12:00,Exit,107.75,1006,108084.64,311.86,0.29,1639.78,1.52,-140.84,-0.13,8393.17,8.39,8
23,Entry long,2025-11-28 10:00,Long,107.44,1006,108084.64,311.86,0.29,1639.78,1.52,-140.84,-0.13,8393.17,8.39,8
