Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-07 10:45,Exit,568.1,173,99803.7,-1522.4,-1.53,432.5,0.43,-2032.75,-2.04,-1522.4,-1.52,9
1,Entry long,2023-07-06 15:15,Long,576.9,173,99803.7,-1522.4,-1.53,432.5,0.43,-2032.75,-2.04,-1522.4,-1.52,9
2,Exit long,2023-07-10 09:15,Exit,570,168,98103.6,-2343.6,-2.39,0,0.00,-2343.6,-2.39,-3866,-3.87,5
2,Entry long,2023-07-07 14:45,Long,583.95,168,98103.6,-2343.6,-2.39,0,0.00,-2343.6,-2.39,-3866,-3.87,5
3,Exit long,2023-07-12 09:15,Exit,611.25,154,96026.7,-1894.2,-1.97,2040.5,2.12,-1894.2,-1.97,-5760.2,-5.76,7
3,Entry long,2023-07-11 14:15,Long,623.55,154,96026.7,-1894.2,-1.97,2040.5,2.12,-1894.2,-1.97,-5760.2,-5.76,7
4,Exit long,2023-08-16 13:45,Exit,768,132,93713.4,7662.6,8.18,10434.6,11.13,-666.6,-0.71,1902.4,1.90,17
4,Entry long,2023-08-16 09:30,Long,709.95,132,93713.4,7662.6,8.18,10434.6,11.13,-666.6,-0.71,1902.4,1.90,17
5,Exit long,2023-08-17 15:15,Exit,775,126,101713.5,-4063.5,-4.00,1134,1.11,-4063.5,-4.00,-2161.1,-2.16,23
5,Entry long,2023-08-17 09:30,Long,807.25,126,101713.5,-4063.5,-4.00,1134,1.11,-4063.5,-4.00,-2161.1,-2.16,23
6,Exit long,2023-08-28 15:15,Exit,799.9,117,97443.45,-3855.15,-3.96,64.35,0.07,-3855.15,-3.96,-6016.25,-6.02,23
6,Entry long,2023-08-28 09:30,Long,832.85,117,97443.45,-3855.15,-3.96,64.35,0.07,-3855.15,-3.96,-6016.25,-6.02,23
7,Exit long,2023-09-07 14:30,Exit,922.2,109,93091.45,7428.35,7.98,12246.15,13.15,-779.35,-0.84,1412.1,1.41,20
7,Entry long,2023-09-07 09:30,Long,854.05,109,93091.45,7428.35,7.98,12246.15,13.15,-779.35,-0.84,1412.1,1.41,20
8,Exit long,2023-09-08 11:30,Exit,922.75,104,100588.8,-4622.8,-4.60,790.4,0.79,-4908.8,-4.88,-3210.7,-3.21,5
8,Entry long,2023-09-08 10:15,Long,967.2,104,100588.8,-4622.8,-4.60,790.4,0.79,-4908.8,-4.88,-3210.7,-3.21,5
9,Exit long,2024-04-26 11:45,Exit,1004.6,97,95806.9,1639.3,1.71,8744.55,9.13,-1697.5,-1.77,-1571.4,-1.57,63
9,Entry long,2024-04-24 09:30,Long,987.7,97,95806.9,1639.3,1.71,8744.55,9.13,-1697.5,-1.77,-1571.4,-1.57,63
10,Exit long,2024-05-21 09:15,Exit,1120,87,97992.45,-552.45,-0.56,761.25,0.78,-1239.75,-1.27,-2123.85,-2.12,10
