Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2024-07-03 14:15,Exit,884.05,111,99567,-1437.45,-1.44,0,0.00,-1437.45,-1.44,-1437.45,-1.44,20
1,Entry long,2024-07-03 09:15,Long,897,111,99567,-1437.45,-1.44,0,0.00,-1437.45,-1.44,-1437.45,-1.44,20
2,Exit long,2024-12-05 09:15,Exit,925.75,107,98177.85,877.4,0.89,1599.65,1.63,-208.65,-0.21,-560.05,-0.56,27
2,Entry long,2024-12-04 09:15,Long,917.55,107,98177.85,877.4,0.89,1599.65,1.63,-208.65,-0.21,-560.05,-0.56,27
3,Exit long,2024-12-05 14:45,Exit,931.1,106,99258.4,-561.8,-0.57,381.6,0.38,-561.8,-0.57,-1121.85,-1.12,2
3,Entry long,2024-12-05 14:15,Long,936.4,106,99258.4,-561.8,-0.57,381.6,0.38,-561.8,-0.57,-1121.85,-1.12,2
4,Exit long,2025-04-22 11:30,Exit,977.35,101,98803.25,-90.9,-0.09,712.05,0.72,-207.05,-0.21,-1212.75,-1.21,7
4,Entry long,2025-04-22 09:45,Long,978.25,101,98803.25,-90.9,-0.09,712.05,0.72,-207.05,-0.21,-1212.75,-1.21,7
5,Exit long,2025-06-27 09:15,Exit,998.5,98,98298.9,-445.9,-0.45,1029,1.05,-445.9,-0.45,-1658.65,-1.66,15
5,Entry long,2025-06-26 12:15,Long,1003.05,98,98298.9,-445.9,-0.45,1029,1.05,-445.9,-0.45,-1658.65,-1.66,15
6,Exit long,2025-07-24 09:15,Exit,1011.15,96,97401.6,-331.2,-0.34,408,0.42,-331.2,-0.34,-1989.85,-1.99,8
6,Entry long,2025-07-23 14:00,Long,1014.6,96,97401.6,-331.2,-0.34,408,0.42,-331.2,-0.34,-1989.85,-1.99,8
