Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-07 10:45,Exit,339.1,316,99966.6,7189,7.19,8737.4,8.74,-94.8,-0.09,7189,7.19,33
1,Entry long,2023-07-06 09:15,Long,316.35,316,99966.6,7189,7.19,8737.4,8.74,-94.8,-0.09,7189,7.19,33
2,Exit long,2024-04-15 09:00,Exit,425,297,106920,19305,18.06,23106.6,21.61,-1098.9,-1.03,26494,26.49,77
2,Entry long,2024-04-09 10:00,Long,360,297,106920,19305,18.06,23106.6,21.61,-1098.9,-1.03,26494,26.49,77
3,Exit long,2024-05-03 11:45,Exit,451.95,284,126195.4,2158.4,1.71,5580.6,4.42,-28.4,-0.02,28652.4,28.65,9
3,Entry long,2024-05-03 09:30,Long,444.35,284,126195.4,2158.4,1.71,5580.6,4.42,-28.4,-0.02,28652.4,28.65,9
4,Exit long,2024-05-06 09:30,Exit,448.85,275,128617.5,-5183.75,-4.03,2942.5,2.29,-5183.75,-4.03,23468.65,23.47,4
4,Entry long,2024-05-03 15:15,Long,467.7,275,128617.5,-5183.75,-4.03,2942.5,2.29,-5183.75,-4.03,23468.65,23.47,4
5,Exit long,2024-05-09 11:00,Exit,468.6,255,123075.75,-3582.75,-2.91,1058.25,0.86,-3582.75,-2.91,19885.9,19.89,12
5,Entry long,2024-05-08 14:45,Long,482.65,255,123075.75,-3582.75,-2.91,1058.25,0.86,-3582.75,-2.91,19885.9,19.89,12
6,Exit long,2024-05-14 09:30,Exit,568.5,245,119670.25,19612.25,16.39,23899.75,19.97,-686,-0.57,39498.15,39.50,50
6,Entry long,2024-05-10 10:30,Long,488.45,245,119670.25,19612.25,16.39,23899.75,19.97,-686,-0.57,39498.15,39.50,50
7,Exit long,2024-05-22 13:00,Exit,765.25,225,139432.5,32748.75,23.49,42300,30.34,0,0.00,72246.9,72.25,47
7,Entry long,2024-05-18 11:45,Long,619.7,225,139432.5,32748.75,23.49,42300,30.34,0,0.00,72246.9,72.25,47
