Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-21 15:15,Exit,811.25,120,99474,-2124,-2.14,6,0.01,-2124,-2.14,-2124,-2.12,23
1,Entry long,2023-07-21 09:30,Long,828.95,120,99474,-2124,-2.14,6,0.01,-2124,-2.14,-2124,-2.12,23
2,Exit long,2023-10-18 15:15,Exit,946.95,106,97944,2432.7,2.48,6444.8,6.58,-100.7,-0.10,308.7,0.31,51
2,Entry long,2023-10-17 09:30,Long,924,106,97944,2432.7,2.48,6444.8,6.58,-100.7,-0.10,308.7,0.31,51
3,Exit long,2024-06-18 09:45,Exit,1054.55,93,99677.4,-1604.25,-1.61,1185.75,1.19,-1855.35,-1.86,-1295.55,-1.30,5
3,Entry long,2024-06-14 15:15,Long,1071.8,93,99677.4,-1604.25,-1.61,1185.75,1.19,-1855.35,-1.86,-1295.55,-1.30,5
4,Exit long,2024-08-05 12:15,Exit,998.5,84,98007,-14133,-14.42,688.8,0.70,-14133,-14.42,-15428.55,-15.43,650
4,Entry long,2024-07-01 10:30,Long,1166.75,84,98007,-14133,-14.42,688.8,0.70,-14133,-14.42,-15428.55,-15.43,650
5,Exit long,2024-09-13 13:45,Exit,1243.3,68,84027.6,516.8,0.62,2604.4,3.10,-629,-0.75,-14911.75,-14.91,14
5,Entry long,2024-09-13 10:15,Long,1235.7,68,84027.6,516.8,0.62,2604.4,3.10,-629,-0.75,-14911.75,-14.91,14
6,Exit long,2024-09-25 12:45,Exit,1295.05,66,84473.4,999.9,1.18,5920.2,7.01,-1541.1,-1.82,-13911.85,-13.91,73
6,Entry long,2024-09-20 15:15,Long,1279.9,66,84473.4,999.9,1.18,5920.2,7.01,-1541.1,-1.82,-13911.85,-13.91,73
7,Exit long,2024-10-09 12:45,Exit,1346,62,85129.1,-1677.1,-1.97,635.5,0.75,-1767,-2.08,-15588.95,-15.59,8
7,Entry long,2024-10-09 10:45,Long,1373.05,62,85129.1,-1677.1,-1.97,635.5,0.75,-1767,-2.08,-15588.95,-15.59,8
8,Exit long,2025-06-26 10:45,Exit,1366.2,60,83160,-1188,-1.43,834,1.00,-1188,-1.43,-16776.95,-16.78,8
8,Entry long,2025-06-25 15:30,Long,1386,60,83160,-1188,-1.43,834,1.00,-1188,-1.43,-16776.95,-16.78,8
9,Exit long,2025-06-30 14:00,Exit,1401.6,59,82694.4,0,0.00,6395.6,7.73,0,0.00,-16776.95,-16.78,23
9,Entry long,2025-06-27 15:00,Long,1401.6,59,82694.4,0,0.00,6395.6,7.73,0,0.00,-16776.95,-16.78,23
10,Exit long,2025-07-28 09:15,Exit,1434,55,83066.5,-4196.5,-5.05,88,0.11,-4196.5,-5.05,-20973.45,-20.97,4
10,Entry long,2025-07-25 15:00,Long,1510.3,55,83066.5,-4196.5,-5.05,88,0.11,-4196.5,-5.05,-20973.45,-20.97,4
