Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-04 15:00,Exit,944.6,105,99855,-672,-0.67,31.5,0.03,-672,-0.67,-672,-0.67,6
1,Entry long,2023-07-04 13:30,Long,951,105,99855,-672,-0.67,31.5,0.03,-672,-0.67,-672,-0.67,6
2,Exit long,2023-07-05 13:15,Exit,959.75,103,98854.25,0,0.00,515,0.52,-314.15,-0.32,-672,-0.67,15
2,Entry long,2023-07-05 09:30,Long,959.75,103,98854.25,0,0.00,515,0.52,-314.15,-0.32,-672,-0.67,15
3,Exit long,2023-07-17 09:45,Exit,957,102,97925.1,-311.1,-0.32,290.7,0.30,-489.6,-0.50,-983.1,-0.98,4
3,Entry long,2023-07-14 15:30,Long,960.05,102,97925.1,-311.1,-0.32,290.7,0.30,-489.6,-0.50,-983.1,-0.98,4
4,Exit long,2023-07-18 14:45,Exit,972.75,101,98172,75.75,0.08,1610.95,1.64,-333.3,-0.34,-907.35,-0.91,25
4,Entry long,2023-07-17 15:15,Long,972,101,98172,75.75,0.08,1610.95,1.64,-333.3,-0.34,-907.35,-0.91,25
5,Exit long,2024-01-23 10:30,Exit,1036.6,93,98524.2,-2120.4,-2.15,0,0.00,-2120.4,-2.15,-3027.75,-3.03,5
5,Entry long,2024-01-23 09:15,Long,1059.4,93,98524.2,-2120.4,-2.15,0,0.00,-2120.4,-2.15,-3027.75,-3.03,5
6,Exit long,2024-03-05 14:15,Exit,1092.6,88,96712,-563.2,-0.58,44,0.05,-734.8,-0.76,-3590.95,-3.59,5
6,Entry long,2024-03-05 13:00,Long,1099,88,96712,-563.2,-0.58,44,0.05,-734.8,-0.76,-3590.95,-3.59,5
7,Exit long,2024-03-06 14:45,Exit,1100.25,87,95956.65,-234.9,-0.24,922.2,0.96,-352.35,-0.37,-3825.85,-3.83,20
7,Entry long,2024-03-06 09:45,Long,1102.95,87,95956.65,-234.9,-0.24,922.2,0.96,-352.35,-0.37,-3825.85,-3.83,20
8,Exit long,2024-04-26 09:15,Exit,1108.7,85,95161.75,-922.25,-0.97,518.5,0.54,-922.25,-0.97,-4748.1,-4.75,7
8,Entry long,2024-04-25 14:15,Long,1119.55,85,95161.75,-922.25,-0.97,518.5,0.54,-922.25,-0.97,-4748.1,-4.75,7
9,Exit long,2024-04-29 15:15,Exit,1156.8,84,94840.2,2331,2.46,2889.6,3.05,-302.4,-0.32,-2417.1,-2.42,23
9,Entry long,2024-04-29 09:30,Long,1129.05,84,94840.2,2331,2.46,2889.6,3.05,-302.4,-0.32,-2417.1,-2.42,23
10,Exit long,2024-06-25 15:00,Exit,1192.95,82,97137.2,684.7,0.70,1238.2,1.27,0,0.00,-1732.4,-1.73,10
10,Entry long,2024-06-25 12:30,Long,1184.6,82,97137.2,684.7,0.70,1238.2,1.27,0,0.00,-1732.4,-1.73,10
11,Exit long,2024-06-26 15:15,Exit,1213.55,81,97524,773.55,0.79,1449.9,1.49,-822.15,-0.84,-958.85,-0.96,26
11,Entry long,2024-06-25 15:30,Long,1204,81,97524,773.55,0.79,1449.9,1.49,-822.15,-0.84,-958.85,-0.96,26
12,Exit long,2024-09-17 12:30,Exit,1266.5,78,98338.5,448.5,0.46,815.1,0.83,-183.3,-0.19,-510.35,-0.51,18
12,Entry long,2024-09-16 14:45,Long,1260.75,78,98338.5,448.5,0.46,815.1,0.83,-183.3,-0.19,-510.35,-0.51,18
13,Exit long,2024-09-23 10:00,Exit,1322,74,99322.8,-1494.8,-1.50,1491.1,1.50,-1528.1,-1.54,-2005.15,-2.01,6
13,Entry long,2024-09-20 15:15,Long,1342.2,74,99322.8,-1494.8,-1.50,1491.1,1.50,-1528.1,-1.54,-2005.15,-2.01,6
14,Exit long,2025-04-21 10:30,Exit,1412.2,70,97230,1624,1.67,3290,3.38,-154,-0.16,-381.15,-0.38,22
14,Entry long,2025-04-17 11:45,Long,1389,70,97230,1624,1.67,3290,3.38,-154,-0.16,-381.15,-0.38,22
15,Exit long,2025-05-02 10:45,Exit,1440.5,69,99484.2,-89.7,-0.09,331.2,0.33,-89.7,-0.09,-470.85,-0.47,5
15,Entry long,2025-05-02 09:30,Long,1441.8,69,99484.2,-89.7,-0.09,331.2,0.33,-89.7,-0.09,-470.85,-0.47,5
16,Exit long,2025-05-13 09:45,Exit,1431,68,98702,-1394,-1.41,0,0.00,-1462,-1.48,-1864.85,-1.86,4
16,Entry long,2025-05-12 15:30,Long,1451.5,68,98702,-1394,-1.41,0,0.00,-1462,-1.48,-1864.85,-1.86,4
17,Exit long,2025-05-27 09:00,Exit,1452.5,66,96835.2,-970.2,-1.00,290.4,0.30,-970.2,-1.00,-2835.05,-2.84,25
17,Entry long,2025-05-26 09:30,Long,1467.2,66,96835.2,-970.2,-1.00,290.4,0.30,-970.2,-1.00,-2835.05,-2.84,25
