Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-06 10:45,Exit,26.45,3724,99989.4,-1489.6,-1.49,1303.4,1.30,-1675.8,-1.68,-1489.6,-1.49,5
1,Entry long,2023-07-06 09:30,Long,26.85,3724,99989.4,-1489.6,-1.49,1303.4,1.30,-1675.8,-1.68,-1489.6,-1.49,5
2,Exit long,2023-07-24 14:45,Exit,26.5,3608,98318,-2706,-2.75,541.2,0.55,-2706,-2.75,-4195.6,-4.20,48
2,Entry long,2023-07-21 09:30,Long,27.25,3608,98318,-2706,-2.75,541.2,0.55,-2706,-2.75,-4195.6,-4.20,48
3,Exit long,2023-08-11 12:15,Exit,29.8,3338,95633.7,3838.7,4.01,8178.1,8.55,-667.6,-0.70,-356.9,-0.36,10
3,Entry long,2023-08-11 09:45,Long,28.65,3338,95633.7,3838.7,4.01,8178.1,8.55,-667.6,-0.70,-356.9,-0.36,10
4,Exit long,2023-08-17 11:15,Exit,31.85,3113,98993.4,155.65,0.16,3579.95,3.62,-1400.85,-1.42,-201.25,-0.20,34
4,Entry long,2023-08-16 09:30,Long,31.8,3113,98993.4,155.65,0.16,3579.95,3.62,-1400.85,-1.42,-201.25,-0.20,34
5,Exit long,2023-08-24 10:45,Exit,32.5,3005,100066.5,-2404,-2.40,450.75,0.45,-2404,-2.40,-2605.25,-2.61,5
5,Entry long,2023-08-24 09:30,Long,33.3,3005,100066.5,-2404,-2.40,450.75,0.45,-2404,-2.40,-2605.25,-2.61,5
6,Exit long,2023-09-12 09:30,Exit,34.6,2894,97383.1,2749.3,2.82,8247.9,8.47,-868.2,-0.89,144.05,0.14,26
6,Entry long,2023-09-11 09:45,Long,33.65,2894,97383.1,2749.3,2.82,8247.9,8.47,-868.2,-0.89,144.05,0.14,26
7,Exit long,2023-09-18 15:15,Exit,46.1,2488,100017.6,14679.2,14.68,17913.6,17.91,-2736.8,-2.74,14823.25,14.82,28
7,Entry long,2023-09-15 15:00,Long,40.2,2488,100017.6,14679.2,14.68,17913.6,17.91,-2736.8,-2.74,14823.25,14.82,28
8,Exit long,2023-10-04 11:30,Exit,49.65,2278,114697.3,-1594.6,-1.39,1708.5,1.49,-1594.6,-1.39,13228.65,13.23,8
8,Entry long,2023-10-04 09:30,Long,50.35,2278,114697.3,-1594.6,-1.39,1708.5,1.49,-1594.6,-1.39,13228.65,13.23,8
9,Exit long,2024-02-02 10:30,Exit,53.65,2177,113095.15,3700.9,3.27,7728.35,6.83,-3047.8,-2.69,16929.55,16.93,16
9,Entry long,2024-02-01 13:15,Long,51.95,2177,113095.15,3700.9,3.27,7728.35,6.83,-3047.8,-2.69,16929.55,16.93,16
10,Exit long,2024-02-05 12:30,Exit,63.85,2101,116815.6,17333.25,14.84,22060.5,18.88,-4096.95,-3.51,34262.8,34.26,29
10,Entry long,2024-02-02 12:00,Long,55.6,2101,116815.6,17333.25,14.84,22060.5,18.88,-4096.95,-3.51,34262.8,34.26,29
11,Exit long,2024-02-08 10:45,Exit,74.5,1887,134260.05,6321.45,4.71,23776.2,17.71,-754.8,-0.56,40584.25,40.58,32
11,Entry long,2024-02-07 09:30,Long,71.15,1887,134260.05,6321.45,4.71,23776.2,17.71,-754.8,-0.56,40584.25,40.58,32
