Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-07 10:30,Exit,33.15,2954,100140.6,-2215.5,-2.21,295.4,0.29,-2215.5,-2.21,-2215.5,-2.22,58
1,Entry long,2023-07-05 09:30,Long,33.9,2954,100140.6,-2215.5,-2.21,295.4,0.29,-2215.5,-2.21,-2215.5,-2.22,58
2,Exit long,2023-08-01 14:30,Exit,40.7,2646,97637.4,10054.8,10.30,12700.8,13.01,-661.5,-0.68,7839.3,7.84,44
2,Entry long,2023-07-31 10:15,Long,36.9,2646,97637.4,10054.8,10.30,12700.8,13.01,-661.5,-0.68,7839.3,7.84,44
3,Exit long,2023-08-03 12:30,Exit,43.4,2543,107696.05,2670.15,2.48,5848.9,5.43,-1017.2,-0.94,10509.45,10.51,12
3,Entry long,2023-08-03 09:30,Long,42.35,2543,107696.05,2670.15,2.48,5848.9,5.43,-1017.2,-0.94,10509.45,10.51,12
4,Exit long,2023-08-04 13:15,Exit,45.65,2455,110597.75,1473,1.33,7978.75,7.21,-2823.25,-2.55,11982.45,11.98,20
4,Entry long,2023-08-03 15:00,Long,45.05,2455,110597.75,1473,1.33,7978.75,7.21,-2823.25,-2.55,11982.45,11.98,20
5,Exit long,2023-08-07 13:30,Exit,47.8,2311,111967.95,-1502.15,-1.34,115.55,0.10,-1502.15,-1.34,10480.3,10.48,7
5,Entry long,2023-08-07 11:45,Long,48.45,2311,111967.95,-1502.15,-1.34,115.55,0.10,-1502.15,-1.34,10480.3,10.48,7
6,Exit long,2023-08-08 11:30,Exit,49.4,2227,110459.2,-445.4,-0.40,5344.8,4.84,-445.4,-0.40,10034.9,10.03,12
6,Entry long,2023-08-07 15:15,Long,49.6,2227,110459.2,-445.4,-0.40,5344.8,4.84,-445.4,-0.40,10034.9,10.03,12
7,Exit long,2023-09-04 13:45,Exit,66.2,2076,110028,27403.2,24.91,28856.4,26.23,-103.8,-0.09,37438.1,37.44,29
7,Entry long,2023-09-01 13:15,Long,53,2076,110028,27403.2,24.91,28856.4,26.23,-103.8,-0.09,37438.1,37.44,29
8,Exit long,2023-09-12 09:30,Exit,82.95,1773,137584.8,9485.55,6.89,26151.75,19.01,-1063.8,-0.77,46923.65,46.92,31
8,Entry long,2023-09-08 15:15,Long,77.6,1773,137584.8,9485.55,6.89,26151.75,19.01,-1063.8,-0.77,46923.65,46.92,31
9,Exit long,2023-12-15 15:00,Exit,94.5,1478,146839.3,-7168.3,-4.88,1478,1.01,-7168.3,-4.88,39755.35,39.76,22
9,Entry long,2023-12-15 09:30,Long,99.35,1478,146839.3,-7168.3,-4.88,1478,1.01,-7168.3,-4.88,39755.35,39.76,22
10,Exit long,2024-01-12 14:00,Exit,112.75,1245,139751.25,622.5,0.45,2178.75,1.56,-1743,-1.25,40377.85,40.38,18
10,Entry long,2024-01-12 09:30,Long,112.25,1245,139751.25,622.5,0.45,2178.75,1.56,-1743,-1.25,40377.85,40.38,18
11,Exit long,2024-01-23 09:15,Exit,175.9,872,139738,13646.8,9.77,28383.6,20.31,0,0.00,54024.65,54.02,28
11,Entry long,2024-01-19 15:30,Long,160.25,872,139738,13646.8,9.77,28383.6,20.31,0,0.00,54024.65,54.02,28
12,Exit long,2024-07-08 10:45,Exit,201.33,754,153816,-2013.18,-1.31,1508,0.98,-2013.18,-1.31,52011.47,52.01,5
12,Entry long,2024-07-08 09:30,Long,204,754,153816,-2013.18,-1.31,1508,0.98,-2013.18,-1.31,52011.47,52.01,5
13,Exit long,2024-07-12 12:30,Exit,211.57,711,152011.8,-1585.53,-1.04,1137.6,0.75,-2986.2,-1.96,50425.94,50.43,8
13,Entry long,2024-07-12 10:30,Long,213.8,711,152011.8,-1585.53,-1.04,1137.6,0.75,-2986.2,-1.96,50425.94,50.43,8
14,Exit long,2024-07-15 12:15,Exit,219.55,662,150161.46,-4819.36,-3.21,112.54,0.07,-4819.36,-3.21,45606.58,45.61,11
14,Entry long,2024-07-15 09:30,Long,226.83,662,150161.46,-4819.36,-3.21,112.54,0.07,-4819.36,-3.21,45606.58,45.61,11
