Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-06 12:15,Exit,1165.5,87,99145.2,2253.3,2.27,3319.05,3.35,-413.25,-0.42,2253.3,2.25,32
1,Entry long,2023-07-05 11:00,Long,1139.6,87,99145.2,2253.3,2.27,3319.05,3.35,-413.25,-0.42,2253.3,2.25,32
2,Exit long,2023-07-07 12:30,Exit,1175.2,86,101437,-369.8,-0.36,898.7,0.89,-369.8,-0.36,1883.5,1.88,5
2,Entry long,2023-07-07 11:15,Long,1179.5,86,101437,-369.8,-0.36,898.7,0.89,-369.8,-0.36,1883.5,1.88,5
3,Exit long,2023-07-11 13:30,Exit,1212.1,85,101430.5,1598,1.58,1997.5,1.97,-616.25,-0.61,3481.5,3.48,43
3,Entry long,2023-07-10 09:30,Long,1193.3,85,101430.5,1598,1.58,1997.5,1.97,-616.25,-0.61,3481.5,3.48,43
4,Exit long,2023-07-12 10:15,Exit,1213.8,84,102442.2,-483,-0.47,630,0.61,-1012.2,-0.99,2998.5,3.00,8
4,Entry long,2023-07-11 15:00,Long,1219.55,84,102442.2,-483,-0.47,630,0.61,-1012.2,-0.99,2998.5,3.00,8
5,Exit long,2023-07-27 14:30,Exit,1232.75,83,102488.4,-170.15,-0.17,1029.2,1.00,-933.75,-0.91,2828.35,2.83,15
5,Entry long,2023-07-27 10:45,Long,1234.8,83,102488.4,-170.15,-0.17,1029.2,1.00,-933.75,-0.91,2828.35,2.83,15
6,Exit long,2023-09-29 15:15,Exit,1259.75,81,101893.95,145.8,0.14,1117.8,1.10,-396.9,-0.39,2974.15,2.97,11
6,Entry long,2023-09-29 12:30,Long,1257.95,81,101893.95,145.8,0.14,1117.8,1.10,-396.9,-0.39,2974.15,2.97,11
7,Exit long,2023-10-12 13:00,Exit,1275,80,102196,-196,-0.19,668,0.65,-596,-0.58,2778.15,2.78,10
7,Entry long,2023-10-12 10:30,Long,1277.45,80,102196,-196,-0.19,668,0.65,-596,-0.58,2778.15,2.78,10
8,Exit long,2023-10-13 12:00,Exit,1274.3,79,102004.8,-1335.1,-1.31,0,0.00,-1335.1,-1.31,1443.05,1.44,9
8,Entry long,2023-10-13 09:45,Long,1291.2,79,102004.8,-1335.1,-1.31,0,0.00,-1335.1,-1.31,1443.05,1.44,9
9,Exit long,2023-11-03 11:45,Exit,1300.5,78,101345.4,93.6,0.09,1571.7,1.55,-436.8,-0.43,1536.65,1.54,9
9,Entry long,2023-11-03 09:30,Long,1299.3,78,101345.4,93.6,0.09,1571.7,1.55,-436.8,-0.43,1536.65,1.54,9
10,Exit long,2023-11-08 11:15,Exit,1349.5,75,101175,37.5,0.04,933.75,0.92,-63.75,-0.06,1574.15,1.57,7
10,Entry long,2023-11-08 09:30,Long,1349,75,101175,37.5,0.04,933.75,0.92,-63.75,-0.06,1574.15,1.57,7
11,Exit long,2023-11-10 09:15,Exit,1355.6,74,101235.7,-921.3,-0.91,292.3,0.29,-921.3,-0.91,652.85,0.65,5
11,Entry long,2023-11-09 14:45,Long,1368.05,74,101235.7,-921.3,-0.91,292.3,0.29,-921.3,-0.91,652.85,0.65,5
12,Exit long,2023-11-23 15:15,Exit,1302.7,72,99450,-5655.6,-5.69,126,0.13,-5655.6,-5.69,-5002.75,-5.00,104
12,Entry long,2023-11-20 09:30,Long,1381.25,72,99450,-5655.6,-5.69,126,0.13,-5655.6,-5.69,-5002.75,-5.00,104
13,Exit long,2024-06-05 14:30,Exit,1388.5,68,94588,-170,-0.18,635.8,0.67,-615.4,-0.65,-5172.75,-5.17,5
13,Entry long,2024-06-05 13:15,Long,1391,68,94588,-170,-0.18,635.8,0.67,-615.4,-0.65,-5172.75,-5.17,5
14,Exit long,2024-07-04 15:00,Exit,1453.25,64,93600,-592,-0.63,64,0.07,-668.8,-0.71,-5764.75,-5.76,5
14,Entry long,2024-07-04 13:45,Long,1462.5,64,93600,-592,-0.63,64,0.07,-668.8,-0.71,-5764.75,-5.76,5
15,Exit long,2024-07-09 12:30,Exit,1465,63,93126.6,-831.6,-0.89,585.9,0.63,-831.6,-0.89,-6596.35,-6.60,12
15,Entry long,2024-07-09 09:30,Long,1478.2,63,93126.6,-831.6,-0.89,585.9,0.63,-831.6,-0.89,-6596.35,-6.60,12
16,Exit long,2024-07-15 11:00,Exit,1504.5,61,92842,-1067.5,-1.15,335.5,0.36,-1067.5,-1.15,-7663.85,-7.66,6
16,Entry long,2024-07-15 09:30,Long,1522,61,92842,-1067.5,-1.15,335.5,0.36,-1067.5,-1.15,-7663.85,-7.66,6
17,Exit long,2024-07-29 10:45,Exit,1538.85,59,91275.95,-483.8,-0.53,616.55,0.68,-483.8,-0.53,-8147.65,-8.15,5
17,Entry long,2024-07-29 09:30,Long,1547.05,59,91275.95,-483.8,-0.53,616.55,0.68,-483.8,-0.53,-8147.65,-8.15,5
18,Exit long,2024-07-30 11:30,Exit,1555.5,58,90700.4,-481.4,-0.53,524.9,0.58,-481.4,-0.53,-8629.05,-8.63,8
18,Entry long,2024-07-30 09:30,Long,1563.8,58,90700.4,-481.4,-0.53,524.9,0.58,-481.4,-0.53,-8629.05,-8.63,8
19,Exit long,2024-08-08 09:15,Exit,1600,56,90098.4,-498.4,-0.55,3981.6,4.42,-498.4,-0.55,-9127.45,-9.13,8
