Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-05 13:45,Exit,5223,19,99561.9,-324.9,-0.33,3608.1,3.62,-324.9,-0.33,-324.9,-0.32,26
1,Entry long,2023-07-04 14:00,Long,5240.1,19,99561.9,-324.9,-0.33,3608.1,3.62,-324.9,-0.33,-324.9,-0.32,26
2,Exit long,2023-09-05 12:45,Exit,5435,18,97794,36,0.04,522,0.53,-246.6,-0.25,-288.9,-0.29,10
2,Entry long,2023-09-05 10:15,Long,5433,18,97794,36,0.04,522,0.53,-246.6,-0.25,-288.9,-0.29,10
3,Exit long,2023-09-11 10:45,Exit,5483.85,18,99270,-560.7,-0.56,0,0.00,-609.3,-0.61,-849.6,-0.85,4
3,Entry long,2023-09-11 09:45,Long,5515,18,99270,-560.7,-0.56,0,0.00,-609.3,-0.61,-849.6,-0.85,4
4,Exit long,2023-09-14 11:15,Exit,5531.2,17,94368.7,-338.3,-0.36,719.1,0.76,-338.3,-0.36,-1187.9,-1.19,7
4,Entry long,2023-09-14 09:30,Long,5551.1,17,94368.7,-338.3,-0.36,719.1,0.76,-338.3,-0.36,-1187.9,-1.19,7
5,Exit long,2023-11-20 11:30,Exit,5558,17,95573.15,-1087.15,-1.14,266.9,0.28,-1087.15,-1.14,-2275.05,-2.28,7
5,Entry long,2023-11-20 09:45,Long,5621.95,17,95573.15,-1087.15,-1.14,266.9,0.28,-1087.15,-1.14,-2275.05,-2.28,7
6,Exit long,2023-12-07 13:45,Exit,5576,17,95914,-1122,-1.17,474.3,0.49,-1122,-1.17,-3397.05,-3.40,43
6,Entry long,2023-12-06 09:45,Long,5642,17,95914,-1122,-1.17,474.3,0.49,-1122,-1.17,-3397.05,-3.40,43
7,Exit long,2023-12-08 13:00,Exit,5687.15,17,96601.65,79.9,0.08,1216.35,1.26,0,0.00,-3317.15,-3.32,6
7,Entry long,2023-12-08 11:30,Long,5682.45,17,96601.65,79.9,0.08,1216.35,1.26,0,0.00,-3317.15,-3.32,6
8,Exit long,2023-12-12 10:15,Exit,5750,16,92088,-88,-0.10,1032,1.12,-164.8,-0.18,-3405.15,-3.41,13
8,Entry long,2023-12-11 13:45,Long,5755.5,16,92088,-88,-0.10,1032,1.12,-164.8,-0.18,-3405.15,-3.41,13
9,Exit long,2023-12-14 12:00,Exit,5908,16,94112,416,0.44,1328,1.41,0,0.00,-2989.15,-2.99,10
9,Entry long,2023-12-14 09:30,Long,5882,16,94112,416,0.44,1328,1.41,0,0.00,-2989.15,-2.99,10
10,Exit long,2023-12-15 12:30,Exit,6151.15,16,96299.2,2119.2,2.20,3140.8,3.26,-491.2,-0.51,-869.95,-0.87,12
10,Entry long,2023-12-15 09:30,Long,6018.7,16,96299.2,2119.2,2.20,3140.8,3.26,-491.2,-0.51,-869.95,-0.87,12
11,Exit long,2023-12-27 11:15,Exit,6305.2,15,94995,-417,-0.44,345,0.36,-417,-0.44,-1286.95,-1.29,7
11,Entry long,2023-12-27 09:30,Long,6333,15,94995,-417,-0.44,345,0.36,-417,-0.44,-1286.95,-1.29,7
12,Exit long,2024-01-15 10:30,Exit,6313.3,15,95975.25,-1275.75,-1.33,654.75,0.68,-1474.5,-1.54,-2562.7,-2.56,4
12,Entry long,2024-01-15 09:30,Long,6398.35,15,95975.25,-1275.75,-1.33,654.75,0.68,-1474.5,-1.54,-2562.7,-2.56,4
13,Exit long,2024-09-17 12:30,Exit,6463.6,15,97056.75,-102.75,-0.11,660,0.68,-426.75,-0.44,-2665.45,-2.67,11
13,Entry long,2024-09-17 09:45,Long,6470.45,15,97056.75,-102.75,-0.11,660,0.68,-426.75,-0.44,-2665.45,-2.67,11
14,Exit long,2024-09-19 10:45,Exit,6386.5,14,91770,-2359,-2.57,279.3,0.30,-2450,-2.67,-5024.45,-5.02,5
14,Entry long,2024-09-19 09:30,Long,6555,14,91770,-2359,-2.57,279.3,0.30,-2450,-2.67,-5024.45,-5.02,5
15,Exit long,2024-12-11 11:45,Exit,6555,14,92699.6,-929.6,-1.00,297.5,0.32,-1128.4,-1.22,-5954.05,-5.95,27
15,Entry long,2024-12-10 11:45,Long,6621.4,14,92699.6,-929.6,-1.00,297.5,0.32,-1128.4,-1.22,-5954.05,-5.95,27
16,Exit long,2024-12-12 11:45,Exit,6656.65,14,93123.1,70,0.08,1158.5,1.24,-45.5,-0.05,-5884.05,-5.88,9
16,Entry long,2024-12-12 09:30,Long,6651.65,14,93123.1,70,0.08,1158.5,1.24,-45.5,-0.05,-5884.05,-5.88,9
17,Exit long,2024-12-16 12:00,Exit,6733.2,13,87840.35,-308.75,-0.35,128.05,0.15,-401.05,-0.46,-6192.8,-6.19,4
17,Entry long,2024-12-16 11:00,Long,6756.95,13,87840.35,-308.75,-0.35,128.05,0.15,-401.05,-0.46,-6192.8,-6.19,4
