Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-07 10:45,Exit,183.25,536,99910.4,-1688.4,-1.69,53.6,0.05,-1688.4,-1.69,-1688.4,-1.69,26
1,Entry long,2023-07-06 11:00,Long,186.4,536,99910.4,-1688.4,-1.69,53.6,0.05,-1688.4,-1.69,-1688.4,-1.69,26
2,Exit long,2023-07-13 14:45,Exit,188.6,520,97890,182,0.19,910,0.93,-650,-0.66,-1506.4,-1.51,21
2,Entry long,2023-07-13 09:30,Long,188.25,520,97890,182,0.19,910,0.93,-650,-0.66,-1506.4,-1.51,21
3,Exit long,2023-07-26 13:30,Exit,206.25,508,98323.4,6451.6,6.56,10261.6,10.44,-152.4,-0.15,4945.2,4.95,28
3,Entry long,2023-07-25 13:15,Long,193.55,508,98323.4,6451.6,6.56,10261.6,10.44,-152.4,-0.15,4945.2,4.95,28
4,Exit long,2023-07-28 10:30,Exit,211.55,490,106330,-2670.5,-2.51,2695,2.53,-3283,-3.09,2274.7,2.27,5
4,Entry long,2023-07-28 09:15,Long,217,490,106330,-2670.5,-2.51,2695,2.53,-3283,-3.09,2274.7,2.27,5
5,Exit long,2023-08-10 14:30,Exit,218.75,459,102127.5,-1721.25,-1.69,321.3,0.31,-2065.5,-2.02,553.45,0.55,6
5,Entry long,2023-08-10 13:00,Long,222.5,459,102127.5,-1721.25,-1.69,321.3,0.31,-2065.5,-2.02,553.45,0.55,6
6,Exit long,2023-08-14 09:15,Exit,224.5,441,100437.75,-1433.25,-1.43,1521.45,1.51,-1433.25,-1.43,-879.8,-0.88,14
6,Entry long,2023-08-11 12:30,Long,227.75,441,100437.75,-1433.25,-1.43,1521.45,1.51,-1433.25,-1.43,-879.8,-0.88,14
7,Exit long,2023-10-16 09:15,Exit,243.85,406,98901.6,101.5,0.10,5196.8,5.25,-1055.6,-1.07,-778.3,-0.78,42
7,Entry long,2023-10-12 12:15,Long,243.6,406,98901.6,101.5,0.10,5196.8,5.25,-1055.6,-1.07,-778.3,-0.78,42
8,Exit long,2023-10-31 11:45,Exit,257,379,98975.85,-1572.85,-1.59,1080.15,1.09,-1572.85,-1.59,-2351.15,-2.35,6
8,Entry long,2023-10-31 10:15,Long,261.15,379,98975.85,-1572.85,-1.59,1080.15,1.09,-1572.85,-1.59,-2351.15,-2.35,6
9,Exit long,2023-11-15 12:45,Exit,295.65,329,97548.5,-279.65,-0.29,1529.85,1.57,-279.65,-0.29,-2630.8,-2.63,8
9,Entry long,2023-11-15 10:45,Long,296.5,329,97548.5,-279.65,-0.29,1529.85,1.57,-279.65,-0.29,-2630.8,-2.63,8
10,Exit long,2023-11-16 14:15,Exit,309.2,322,97244,2318.4,2.38,4588.5,4.72,-2559.9,-2.63,-312.4,-0.31,26
10,Entry long,2023-11-15 14:30,Long,302,322,97244,2318.4,2.38,4588.5,4.72,-2559.9,-2.63,-312.4,-0.31,26
11,Exit long,2023-12-19 14:30,Exit,319.5,309,99266.25,-540.75,-0.54,386.25,0.39,-540.75,-0.54,-853.15,-0.85,4
11,Entry long,2023-12-19 13:30,Long,321.25,309,99266.25,-540.75,-0.54,386.25,0.39,-540.75,-0.54,-853.15,-0.85,4
12,Exit long,2024-01-04 12:45,Exit,324.3,300,99000,-1710,-1.73,105,0.11,-1710,-1.73,-2563.15,-2.56,5
12,Entry long,2024-01-04 11:30,Long,330,300,99000,-1710,-1.73,105,0.11,-1710,-1.73,-2563.15,-2.56,5
13,Exit long,2024-01-12 09:15,Exit,377.9,276,97290,7010.4,7.21,9453,9.72,-690,-0.71,4447.25,4.45,31
13,Entry long,2024-01-10 15:00,Long,352.5,276,97290,7010.4,7.21,9453,9.72,-690,-0.71,4447.25,4.45,31
14,Exit long,2024-01-12 11:15,Exit,388.8,267,104156.7,-347.1,-0.33,1909.05,1.83,-480.6,-0.46,4100.15,4.10,6
14,Entry long,2024-01-12 09:45,Long,390.1,267,104156.7,-347.1,-0.33,1909.05,1.83,-480.6,-0.46,4100.15,4.10,6
15,Exit long,2024-01-15 11:45,Exit,388.95,261,103851.9,-2335.95,-2.25,0,0.00,-2335.95,-2.25,1764.2,1.76,9
15,Entry long,2024-01-15 09:30,Long,397.9,261,103851.9,-2335.95,-2.25,0,0.00,-2335.95,-2.25,1764.2,1.76,9
16,Exit long,2024-02-09 09:45,Exit,460.7,232,101500,5382.4,5.30,10915.6,10.75,-3712,-3.66,7146.6,7.15,277
