Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-04 13:00,Exit,26.73,3783,99984.69,1134.9,1.14,2648.1,2.65,-226.98,-0.23,1134.9,1.13,9
1,Entry long,2023-07-04 10:45,Long,26.43,3783,99984.69,1134.9,1.14,2648.1,2.65,-226.98,-0.23,1134.9,1.13,9
2,Exit long,2023-07-06 12:45,Exit,27.29,3695,100984.35,-147.8,-0.15,886.8,0.88,-480.35,-0.48,987.1,0.99,13
2,Entry long,2023-07-06 09:30,Long,27.33,3695,100984.35,-147.8,-0.15,886.8,0.88,-480.35,-0.48,987.1,0.99,13
3,Exit long,2023-07-26 09:15,Exit,27.93,3506,100867.62,-2945.04,-2.92,911.56,0.90,-2945.04,-2.92,-1957.94,-1.96,26
3,Entry long,2023-07-25 09:30,Long,28.77,3506,100867.62,-2945.04,-2.92,911.56,0.90,-2945.04,-2.92,-1957.94,-1.96,26
4,Exit long,2023-07-28 12:45,Exit,28.99,3357,97923.69,-604.26,-0.62,100.71,0.10,-604.26,-0.62,-2562.2,-2.56,6
4,Entry long,2023-07-28 11:15,Long,29.17,3357,97923.69,-604.26,-0.62,100.71,0.10,-604.26,-0.62,-2562.2,-2.56,6
5,Exit long,2023-07-31 13:00,Exit,30.56,3273,97437.21,2585.67,2.65,3796.68,3.90,0,0.00,23.47,0.02,13
5,Entry long,2023-07-31 09:45,Long,29.77,3273,97437.21,2585.67,2.65,3796.68,3.90,0,0.00,23.47,0.02,13
6,Exit long,2023-08-07 09:15,Exit,31.23,3135,99912.45,-2006.4,-2.01,188.1,0.19,-2006.4,-2.01,-1982.93,-1.98,4
6,Entry long,2023-08-04 15:00,Long,31.87,3135,99912.45,-2006.4,-2.01,188.1,0.19,-2006.4,-2.01,-1982.93,-1.98,4
7,Exit long,2023-08-08 11:00,Exit,31.97,3031,97992.23,-1091.16,-1.11,2333.87,2.38,-1606.43,-1.64,-3074.09,-3.07,29
7,Entry long,2023-08-07 10:30,Long,32.33,3031,97992.23,-1091.16,-1.11,2333.87,2.38,-1606.43,-1.64,-3074.09,-3.07,29
8,Exit long,2023-09-04 15:00,Exit,37.36,2771,96791.03,6733.53,6.96,9809.34,10.13,-2383.06,-2.46,3659.44,3.66,101
8,Entry long,2023-08-30 10:00,Long,34.93,2771,96791.03,6733.53,6.96,9809.34,10.13,-2383.06,-2.46,3659.44,3.66,101
9,Exit long,2023-10-11 15:15,Exit,41.63,2416,103573.92,-2995.84,-2.89,72.48,0.07,-2995.84,-2.89,663.6,0.66,22
9,Entry long,2023-10-11 09:45,Long,42.87,2416,103573.92,-2995.84,-2.89,72.48,0.07,-2995.84,-2.89,663.6,0.66,22
10,Exit long,2023-10-12 12:45,Exit,42.46,2323,100655.59,-2021.01,-2.01,557.52,0.55,-2230.08,-2.22,-1357.41,-1.36,7
10,Entry long,2023-10-12 11:00,Long,43.33,2323,100655.59,-2021.01,-2.01,557.52,0.55,-2230.08,-2.22,-1357.41,-1.36,7
11,Exit long,2023-10-17 09:15,Exit,42.49,2255,98701.35,-2886.4,-2.92,0,0.00,-2886.4,-2.92,-4243.81,-4.24,26
