Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-11 11:15,Exit,101.8,977,99995.95,-537.35,-0.54,537.35,0.54,-537.35,-0.54,-537.35,-0.54,5
1,Entry long,2023-07-11 10:00,Long,102.35,977,99995.95,-537.35,-0.54,537.35,0.54,-537.35,-0.54,-537.35,-0.54,5
2,Exit long,2023-08-01 15:15,Exit,102.8,966,99498,-193.2,-0.19,1449,1.46,-193.2,-0.19,-730.55,-0.73,28
2,Entry long,2023-07-31 15:00,Long,103,966,99498,-193.2,-0.19,1449,1.46,-193.2,-0.19,-730.55,-0.73,28
3,Exit long,2023-08-16 14:30,Exit,107.65,940,99170,2021,2.04,3572,3.60,-1786,-1.80,1290.45,1.29,23
3,Entry long,2023-08-14 15:30,Long,105.5,940,99170,2021,2.04,3572,3.60,-1786,-1.80,1290.45,1.29,23
4,Exit long,2023-08-18 12:15,Exit,118.5,916,101218,7328,7.24,11450,11.31,-778.6,-0.77,8618.45,8.62,38
4,Entry long,2023-08-17 09:30,Long,110.5,916,101218,7328,7.24,11450,11.31,-778.6,-0.77,8618.45,8.62,38
5,Exit long,2023-08-23 12:45,Exit,126.7,865,108471,1124.5,1.04,3027.5,2.79,-43.25,-0.04,9742.95,9.74,13
5,Entry long,2023-08-23 09:30,Long,125.4,865,108471,1124.5,1.04,3027.5,2.79,-43.25,-0.04,9742.95,9.74,13
6,Exit long,2023-08-24 09:15,Exit,127,842,109754.7,-2820.7,-2.57,42.1,0.04,-2820.7,-2.57,6922.25,6.92,4
6,Entry long,2023-08-23 15:00,Long,130.35,842,109754.7,-2820.7,-2.57,42.1,0.04,-2820.7,-2.57,6922.25,6.92,4
7,Exit long,2023-09-05 09:15,Exit,142,783,106879.5,4306.5,4.03,7164.45,6.70,-665.55,-0.62,11228.75,11.23,26
7,Entry long,2023-09-04 09:30,Long,136.5,783,106879.5,4306.5,4.03,7164.45,6.70,-665.55,-0.62,11228.75,11.23,26
8,Exit long,2023-09-05 13:15,Exit,146.6,748,111152.8,-1496,-1.35,3889.6,3.50,-1533.4,-1.38,9732.75,9.73,7
8,Entry long,2023-09-05 11:30,Long,148.6,748,111152.8,-1496,-1.35,3889.6,3.50,-1533.4,-1.38,9732.75,9.73,7
9,Exit long,2023-09-08 11:30,Exit,156.25,710,109517.5,1420,1.30,3621,3.31,-177.5,-0.16,11152.75,11.15,7
9,Entry long,2023-09-08 09:45,Long,154.25,710,109517.5,1420,1.30,3621,3.31,-177.5,-0.16,11152.75,11.15,7
10,Exit long,2023-09-08 13:00,Exit,157.2,692,111066,-2283.6,-2.06,138.4,0.12,-2387.4,-2.15,8869.15,8.87,4
10,Entry long,2023-09-08 12:00,Long,160.5,692,111066,-2283.6,-2.06,138.4,0.12,-2387.4,-2.15,8869.15,8.87,4
11,Exit long,2023-12-19 15:15,Exit,169.05,647,108760.7,614.65,0.57,3170.3,2.91,-1261.65,-1.16,9483.8,9.48,26
11,Entry long,2023-12-18 15:30,Long,168.1,647,108760.7,614.65,0.57,3170.3,2.91,-1261.65,-1.16,9483.8,9.48,26
12,Exit long,2023-12-20 13:15,Exit,169.65,628,109460.4,-2920.2,-2.67,62.8,0.06,-2920.2,-2.67,6563.6,6.56,11
12,Entry long,2023-12-20 10:30,Long,174.3,628,109460.4,-2920.2,-2.67,62.8,0.06,-2920.2,-2.67,6563.6,6.56,11
13,Exit long,2024-01-23 11:45,Exit,191.7,592,106352.8,7133.6,6.71,13438.4,12.64,0,0.00,13697.2,13.70,22
13,Entry long,2024-01-20 12:45,Long,179.65,592,106352.8,7133.6,6.71,13438.4,12.64,0,0.00,13697.2,13.70,22
14,Exit long,2024-01-29 09:15,Exit,207.15,555,113664,1304.25,1.15,5328,4.69,-1137.75,-1.00,15001.45,15.00,26
14,Entry long,2024-01-25 09:30,Long,204.8,555,113664,1304.25,1.15,5328,4.69,-1137.75,-1.00,15001.45,15.00,26
15,Exit long,2024-01-31 12:45,Exit,211.5,536,114891.6,-1527.6,-1.33,1795.6,1.56,-1527.6,-1.33,13473.85,13.47,12
15,Entry long,2024-01-31 09:45,Long,214.35,536,114891.6,-1527.6,-1.33,1795.6,1.56,-1527.6,-1.33,13473.85,13.47,12
16,Exit long,2024-02-01 11:15,Exit,229.45,506,113394.6,2707.1,2.39,7741.8,6.83,-506,-0.45,16180.95,16.18,7
16,Entry long,2024-02-01 09:30,Long,224.1,506,113394.6,2707.1,2.39,7741.8,6.83,-506,-0.45,16180.95,16.18,7
17,Exit long,2024-02-02 12:15,Exit,255.9,442,116246,-3138.2,-2.70,442,0.38,-3182.4,-2.74,13042.75,13.04,4
17,Entry long,2024-02-02 11:15,Long,263,442,116246,-3138.2,-2.70,442,0.38,-3182.4,-2.74,13042.75,13.04,4
18,Exit long,2024-02-06 09:15,Exit,267,424,112890,318,0.28,10388,9.20,-1568.8,-1.39,13360.75,13.36,30
18,Entry long,2024-02-02 15:15,Long,266.25,424,112890,318,0.28,10388,9.20,-1568.8,-1.39,13360.75,13.36,30
19,Exit long,2024-07-15 09:30,Exit,328,343,113241.45,-737.45,-0.65,18539.15,16.37,-737.45,-0.65,12623.3,12.62,43
19,Entry long,2024-07-11 12:15,Long,330.15,343,113241.45,-737.45,-0.65,18539.15,16.37,-737.45,-0.65,12623.3,12.62,43
