Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-09-05 10:15,Exit,25480.2,3,75292.65,1147.95,1.52,2222.25,2.95,-459.75,-0.61,1147.95,1.15,25
1,Entry long,2023-09-04 10:45,Long,25097.55,3,75292.65,1147.95,1.52,2222.25,2.95,-459.75,-0.61,1147.95,1.15,25
2,Exit long,2023-09-11 11:00,Exit,25815,3,77569.65,-124.65,-0.16,593.1,0.76,-617.7,-0.80,1023.3,1.02,32
2,Entry long,2023-09-08 09:30,Long,25856.55,3,77569.65,-124.65,-0.16,593.1,0.76,-617.7,-0.80,1023.3,1.02,32
3,Exit long,2023-09-14 09:15,Exit,26170,3,78837,-327,-0.41,149.4,0.19,-327,-0.41,696.3,0.70,5
3,Entry long,2023-09-13 14:45,Long,26279,3,78837,-327,-0.41,149.4,0.19,-327,-0.41,696.3,0.70,5
4,Exit long,2023-09-15 09:15,Exit,26244.95,3,79320.3,-585.45,-0.74,182.7,0.23,-585.45,-0.74,110.85,0.11,2
4,Entry long,2023-09-14 15:15,Long,26440.1,3,79320.3,-585.45,-0.74,182.7,0.23,-585.45,-0.74,110.85,0.11,2
5,Exit long,2023-10-16 11:15,Exit,26866.75,3,81472.05,-871.8,-1.07,424.8,0.52,-871.8,-1.07,-760.95,-0.76,5
5,Entry long,2023-10-16 10:00,Long,27157.35,3,81472.05,-871.8,-1.07,424.8,0.52,-871.8,-1.07,-760.95,-0.76,5
6,Exit long,2023-12-04 15:15,Exit,27664.05,3,82335,657.15,0.80,1410,1.71,-101.85,-0.12,-103.8,-0.10,16
6,Entry long,2023-12-04 11:15,Long,27445,3,82335,657.15,0.80,1410,1.71,-101.85,-0.12,-103.8,-0.10,16
7,Exit long,2023-12-05 11:00,Exit,27750,3,83865.15,-615.15,-0.73,59.85,0.07,-615.15,-0.73,-718.95,-0.72,5
7,Entry long,2023-12-05 09:45,Long,27955.05,3,83865.15,-615.15,-0.73,59.85,0.07,-615.15,-0.73,-718.95,-0.72,5
8,Exit long,2023-12-06 10:00,Exit,27843.9,3,83980.65,-448.95,-0.53,169.35,0.20,-448.95,-0.53,-1167.9,-1.17,6
8,Entry long,2023-12-05 15:15,Long,27993.55,3,83980.65,-448.95,-0.53,169.35,0.20,-448.95,-0.53,-1167.9,-1.17,6
9,Exit long,2023-12-07 14:45,Exit,27981,3,84379.95,-436.95,-0.52,40.05,0.05,-436.95,-0.52,-1604.85,-1.60,6
9,Entry long,2023-12-07 13:15,Long,28126.65,3,84379.95,-436.95,-0.52,40.05,0.05,-436.95,-0.52,-1604.85,-1.60,6
10,Exit long,2023-12-12 13:00,Exit,28513.5,3,84498,1042.5,1.23,1902,2.25,-251.25,-0.30,-562.35,-0.56,27
10,Entry long,2023-12-11 13:00,Long,28166,3,84498,1042.5,1.23,1902,2.25,-251.25,-0.30,-562.35,-0.56,27
11,Exit long,2023-12-27 10:45,Exit,28567.95,3,87387,-1683.15,-1.93,363,0.42,-1887,-2.16,-2245.5,-2.25,5
11,Entry long,2023-12-27 09:30,Long,29129,3,87387,-1683.15,-1.93,363,0.42,-1887,-2.16,-2245.5,-2.25,5
12,Exit long,2025-03-28 14:00,Exit,30587.75,3,92633.25,-870,-0.94,999.75,1.08,-870,-0.94,-3115.5,-3.12,18
12,Entry long,2025-03-28 09:30,Long,30877.75,3,92633.25,-870,-0.94,999.75,1.08,-870,-0.94,-3115.5,-3.12,18
13,Exit long,2025-05-15 11:00,Exit,31415,3,94410,-165,-0.17,1095,1.16,-375,-0.40,-3280.5,-3.28,5
13,Entry long,2025-05-15 09:45,Long,31470,3,94410,-165,-0.17,1095,1.16,-375,-0.40,-3280.5,-3.28,5
14,Exit long,2025-05-20 15:00,Exit,31535,3,95580,-975,-1.02,15,0.02,-1005,-1.05,-4255.5,-4.26,4
14,Entry long,2025-05-20 14:00,Long,31860,3,95580,-975,-1.02,15,0.02,-1005,-1.05,-4255.5,-4.26,4
15,Exit long,2025-07-23 09:15,Exit,32175,2,64670,-320,-0.49,310,0.48,-320,-0.49,-4575.5,-4.58,14
15,Entry long,2025-07-22 12:30,Long,32335,2,64670,-320,-0.49,310,0.48,-320,-0.49,-4575.5,-4.58,14
