Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-09-05 11:45,Exit,447.5,221,99991.45,-1093.95,-1.09,453.05,0.45,-1093.95,-1.09,-1093.95,-1.09,8
1,Entry long,2023-09-05 09:45,Long,452.45,221,99991.45,-1093.95,-1.09,453.05,0.45,-1093.95,-1.09,-1093.95,-1.09,8
2,Exit long,2024-05-28 11:45,Exit,471,215,101673.5,-408.5,-0.40,1956.5,1.92,-3633.5,-3.57,-1502.45,-1.50,10
2,Entry long,2024-05-28 09:15,Long,472.9,215,101673.5,-408.5,-0.40,1956.5,1.92,-3633.5,-3.57,-1502.45,-1.50,10
3,Exit long,2024-05-30 11:30,Exit,478.95,201,98248.8,-1979.85,-2.02,1849.2,1.88,-1979.85,-2.02,-3482.3,-3.48,12
3,Entry long,2024-05-29 15:15,Long,488.8,201,98248.8,-1979.85,-2.02,1849.2,1.88,-1979.85,-2.02,-3482.3,-3.48,12
4,Exit long,2024-06-11 15:15,Exit,486,192,96000,-2688,-2.80,518.4,0.54,-2688,-2.80,-6170.3,-6.17,26
4,Entry long,2024-06-10 15:30,Long,500,192,96000,-2688,-2.80,518.4,0.54,-2688,-2.80,-6170.3,-6.17,26
5,Exit long,2024-07-23 09:15,Exit,512,180,93672,-1512,-1.61,378,0.40,-1512,-1.61,-7682.3,-7.68,9
5,Entry long,2024-07-22 13:45,Long,520.4,180,93672,-1512,-1.61,378,0.40,-1512,-1.61,-7682.3,-7.68,9
6,Exit long,2024-07-30 14:45,Exit,518.05,172,92862.8,-3758.2,-4.05,94.6,0.10,-3758.2,-4.05,-11440.5,-11.44,49
6,Entry long,2024-07-29 09:15,Long,539.9,172,92862.8,-3758.2,-4.05,94.6,0.10,-3758.2,-4.05,-11440.5,-11.44,49
7,Exit long,2024-07-31 11:30,Exit,532.3,162,88111.8,-1879.2,-2.13,226.8,0.26,-1879.2,-2.13,-13319.7,-13.32,4
7,Entry long,2024-07-31 10:30,Long,543.9,162,88111.8,-1879.2,-2.13,226.8,0.26,-1879.2,-2.13,-13319.7,-13.32,4
8,Exit long,2024-08-14 14:30,Exit,537.3,158,86552.4,-1659,-1.92,181.7,0.21,-1659,-1.92,-14978.7,-14.98,5
8,Entry long,2024-08-14 13:15,Long,547.8,158,86552.4,-1659,-1.92,181.7,0.21,-1659,-1.92,-14978.7,-14.98,5
9,Exit long,2024-08-22 11:00,Exit,549.4,154,84792.4,-184.8,-0.22,2579.5,3.04,-1239.7,-1.46,-15163.5,-15.16,6
9,Entry long,2024-08-22 09:30,Long,550.6,154,84792.4,-184.8,-0.22,2579.5,3.04,-1239.7,-1.46,-15163.5,-15.16,6
10,Exit long,2024-09-11 09:45,Exit,592.5,148,84345.2,3344.8,3.97,8643.2,10.25,0,0.00,-11818.7,-11.82,12
10,Entry long,2024-09-10 13:30,Long,569.9,148,84345.2,3344.8,3.97,8643.2,10.25,0,0.00,-11818.7,-11.82,12
11,Exit long,2025-07-31 09:15,Exit,635.1,139,87938.35,340.55,0.39,3808.6,4.33,-715.85,-0.81,-11478.15,-11.48,23
11,Entry long,2025-07-30 10:15,Long,632.65,139,87938.35,340.55,0.39,3808.6,4.33,-715.85,-0.81,-11478.15,-11.48,23
12,Exit long,2025-07-31 12:45,Exit,649.2,133,88039.35,-1695.75,-1.93,206.15,0.23,-1695.75,-1.93,-13173.9,-13.17,8
12,Entry long,2025-07-31 10:45,Long,661.95,133,88039.35,-1695.75,-1.93,206.15,0.23,-1695.75,-1.93,-13173.9,-13.17,8
