Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-13 13:00,Exit,3364.3,30,99843,1086,1.09,2577,2.58,-234,-0.23,1086,1.09,14
1,Entry long,2023-07-13 09:30,Long,3328.1,30,99843,1086,1.09,2577,2.58,-234,-0.23,1086,1.09,14
2,Exit long,2023-07-14 13:00,Exit,3361,29,100622.75,-3153.75,-3.13,469.8,0.47,-3153.75,-3.13,-2067.75,-2.07,14
2,Entry long,2023-07-14 09:30,Long,3469.75,29,100622.75,-3153.75,-3.13,469.8,0.47,-3153.75,-3.13,-2067.75,-2.07,14
3,Exit long,2023-07-24 13:15,Exit,3636.8,26,95160,-603.2,-0.63,1506.7,1.58,-603.2,-0.63,-2670.95,-2.67,15
3,Entry long,2023-07-24 09:30,Long,3660,26,95160,-603.2,-0.63,1506.7,1.58,-603.2,-0.63,-2670.95,-2.67,15
4,Exit long,2023-07-27 14:15,Exit,3638.1,25,94830,-3877.5,-4.09,145,0.15,-3877.5,-4.09,-6548.45,-6.55,73
4,Entry long,2023-07-25 09:30,Long,3793.2,25,94830,-3877.5,-4.09,145,0.15,-3877.5,-4.09,-6548.45,-6.55,73
5,Exit long,2023-08-09 09:00,Exit,3765,24,92842.8,-2482.8,-2.67,394.8,0.43,-2482.8,-2.67,-9031.25,-9.03,3
5,Entry long,2023-08-08 15:15,Long,3868.45,24,92842.8,-2482.8,-2.67,394.8,0.43,-2482.8,-2.67,-9031.25,-9.03,3
6,Exit long,2023-08-24 14:45,Exit,4444.05,21,90088.95,3236.1,3.59,5251.05,5.83,-6088.95,-6.76,-5795.15,-5.80,239
6,Entry long,2023-08-11 09:15,Long,4289.95,21,90088.95,3236.1,3.59,5251.05,5.83,-6088.95,-6.76,-5795.15,-5.80,239
7,Exit long,2023-10-20 13:15,Exit,4753.85,19,92720,-2396.85,-2.59,67.45,0.07,-2469.05,-2.66,-8192,-8.19,4
7,Entry long,2023-10-20 12:15,Long,4880,19,92720,-2396.85,-2.59,67.45,0.07,-2469.05,-2.66,-8192,-8.19,4
8,Exit long,2024-05-02 09:00,Exit,4900,18,89924.4,-1724.4,-1.92,2323.8,2.58,-2537.1,-2.82,-9916.4,-9.92,29
8,Entry long,2024-04-29 15:15,Long,4995.8,18,89924.4,-1724.4,-1.92,2323.8,2.58,-2537.1,-2.82,-9916.4,-9.92,29
9,Exit long,2024-05-17 10:45,Exit,5560,16,88721.6,238.4,0.27,1945.6,2.19,-612.8,-0.69,-9678,-9.68,9
9,Entry long,2024-05-16 15:15,Long,5545.1,16,88721.6,238.4,0.27,1945.6,2.19,-612.8,-0.69,-9678,-9.68,9
10,Exit long,2024-05-27 12:15,Exit,5627.15,15,85871.25,-1464,-1.70,1725.75,2.01,-1464,-1.70,-11142,-11.14,8
10,Entry long,2024-05-27 10:15,Long,5724.75,15,85871.25,-1464,-1.70,1725.75,2.01,-1464,-1.70,-11142,-11.14,8
11,Exit long,2024-06-12 13:30,Exit,6394.5,14,88158,1365,1.55,2282,2.59,-182,-0.21,-9777,-9.78,16
11,Entry long,2024-06-12 09:30,Long,6297,14,88158,1365,1.55,2282,2.59,-182,-0.21,-9777,-9.78,16
