Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-07 11:45,Exit,1321.05,75,99892.5,-813.75,-0.81,825,0.83,-813.75,-0.81,-813.75,-0.81,8
1,Entry long,2023-07-07 09:45,Long,1331.9,75,99892.5,-813.75,-0.81,825,0.83,-813.75,-0.81,-813.75,-0.81,8
2,Exit long,2023-07-11 13:30,Exit,1344,73,98550,-438,-0.44,365,0.37,-438,-0.44,-1251.75,-1.25,9
2,Entry long,2023-07-11 11:15,Long,1350,73,98550,-438,-0.44,365,0.37,-438,-0.44,-1251.75,-1.25,9
3,Exit long,2023-07-17 10:45,Exit,1343.7,72,97650,-903.6,-0.93,486,0.50,-990,-1.01,-2155.35,-2.16,5
3,Entry long,2023-07-17 09:30,Long,1356.25,72,97650,-903.6,-0.93,486,0.50,-990,-1.01,-2155.35,-2.16,5
4,Exit long,2023-07-18 11:30,Exit,1350.55,71,96907.9,-1018.85,-1.05,7.1,0.01,-1018.85,-1.05,-3174.2,-3.17,7
4,Entry long,2023-07-18 09:45,Long,1364.9,71,96907.9,-1018.85,-1.05,7.1,0.01,-1018.85,-1.05,-3174.2,-3.17,7
5,Exit long,2023-07-24 14:45,Exit,1364.4,70,95900,-392,-0.41,178.5,0.19,-392,-0.41,-3566.2,-3.57,4
5,Entry long,2023-07-24 13:45,Long,1370,70,95900,-392,-0.41,178.5,0.19,-392,-0.41,-3566.2,-3.57,4
6,Exit long,2023-07-26 11:30,Exit,1383,70,96337.5,472.5,0.49,1725.5,1.79,-784,-0.81,-3093.7,-3.09,27
6,Entry long,2023-07-25 11:30,Long,1376.25,70,96337.5,472.5,0.49,1725.5,1.79,-784,-0.81,-3093.7,-3.09,27
7,Exit long,2023-08-31 14:30,Exit,1428.05,68,96165.6,941.8,0.98,1509.6,1.57,-285.6,-0.30,-2151.9,-2.15,47
7,Entry long,2023-08-30 09:30,Long,1414.2,68,96165.6,941.8,0.98,1509.6,1.57,-285.6,-0.30,-2151.9,-2.15,47
8,Exit long,2023-09-06 13:15,Exit,1467.5,66,97396.2,-541.2,-0.56,551.1,0.57,-541.2,-0.56,-2693.1,-2.69,15
8,Entry long,2023-09-06 09:30,Long,1475.7,66,97396.2,-541.2,-0.56,551.1,0.57,-541.2,-0.56,-2693.1,-2.69,15
9,Exit long,2023-09-18 09:15,Exit,1497.15,64,95968,-150.4,-0.16,572.8,0.60,-307.2,-0.32,-2843.5,-2.84,9
9,Entry long,2023-09-15 13:45,Long,1499.5,64,95968,-150.4,-0.16,572.8,0.60,-307.2,-0.32,-2843.5,-2.84,9
10,Exit long,2023-09-20 09:15,Exit,1515.3,64,96924.8,54.4,0.06,1072,1.11,-364.8,-0.38,-2789.1,-2.79,21
10,Entry long,2023-09-18 10:45,Long,1514.45,64,96924.8,54.4,0.06,1072,1.11,-364.8,-0.38,-2789.1,-2.79,21
11,Exit long,2023-09-26 12:00,Exit,1536,63,97020,-252,-0.26,252,0.26,-853.65,-0.88,-3041.1,-3.04,10
11,Entry long,2023-09-26 09:30,Long,1540,63,97020,-252,-0.26,252,0.26,-853.65,-0.88,-3041.1,-3.04,10
12,Exit long,2023-10-10 12:30,Exit,1538.85,62,96124.8,-716.1,-0.74,530.1,0.55,-716.1,-0.74,-3757.2,-3.76,12
