Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-04 12:45,Exit,28.5,3508,99978,0,0.00,2631,2.63,-1227.8,-1.23,0,0.00,9
1,Entry long,2023-07-04 10:30,Long,28.5,3508,99978,0,0.00,2631,2.63,-1227.8,-1.23,0,0.00,9
2,Exit long,2023-07-07 09:45,Exit,28.55,3401,99819.35,-2720.8,-2.73,340.1,0.34,-2720.8,-2.73,-2720.8,-2.72,28
2,Entry long,2023-07-06 09:30,Long,29.35,3401,99819.35,-2720.8,-2.73,340.1,0.34,-2720.8,-2.73,-2720.8,-2.72,28
3,Exit long,2023-07-24 11:45,Exit,29.1,3280,97252,-1804,-1.85,328,0.34,-1804,-1.85,-4524.8,-4.52,9
3,Entry long,2023-07-24 09:30,Long,29.65,3280,97252,-1804,-1.85,328,0.34,-1804,-1.85,-4524.8,-4.52,9
4,Exit long,2023-08-16 11:30,Exit,30.2,3161,95462.2,0,0.00,1738.55,1.82,-632.2,-0.66,-4524.8,-4.52,8
4,Entry long,2023-08-16 09:30,Long,30.2,3161,95462.2,0,0.00,1738.55,1.82,-632.2,-0.66,-4524.8,-4.52,8
5,Exit long,2023-08-18 11:00,Exit,31.15,3026,95924.2,-1664.3,-1.74,151.3,0.16,-1815.6,-1.89,-6189.1,-6.19,6
5,Entry long,2023-08-18 09:30,Long,31.7,3026,95924.2,-1664.3,-1.74,151.3,0.16,-1815.6,-1.89,-6189.1,-6.19,6
6,Exit long,2023-08-23 12:15,Exit,32.75,2877,93646.35,575.4,0.61,2013.9,2.15,-143.85,-0.15,-5613.7,-5.61,9
6,Entry long,2023-08-23 10:00,Long,32.55,2877,93646.35,575.4,0.61,2013.9,2.15,-143.85,-0.15,-5613.7,-5.61,9
7,Exit long,2023-08-24 10:30,Exit,33.3,2830,94239,0,0.00,3113,3.30,-283,-0.30,-5613.7,-5.61,7
7,Entry long,2023-08-23 15:30,Long,33.3,2830,94239,0,0.00,3113,3.30,-283,-0.30,-5613.7,-5.61,7
8,Exit long,2023-09-12 09:15,Exit,36.35,2547,94493.7,-1910.25,-2.02,636.75,0.67,-1910.25,-2.02,-7523.95,-7.52,7
8,Entry long,2023-09-11 14:15,Long,37.1,2547,94493.7,-1910.25,-2.02,636.75,0.67,-1910.25,-2.02,-7523.95,-7.52,7
9,Exit long,2023-09-15 12:30,Exit,39.75,2420,92686,3509,3.79,5929,6.40,-484,-0.52,-4014.95,-4.01,12
9,Entry long,2023-09-15 09:30,Long,38.3,2420,92686,3509,3.79,5929,6.40,-484,-0.52,-4014.95,-4.01,12
10,Exit long,2023-09-20 09:15,Exit,45.05,2352,96079.2,9878.4,10.28,17875.2,18.60,-2352,-2.45,5863.45,5.86,31
10,Entry long,2023-09-15 15:00,Long,40.85,2352,96079.2,9878.4,10.28,17875.2,18.60,-2352,-2.45,5863.45,5.86,31
11,Exit long,2024-01-31 13:00,Exit,47.5,2182,105936.1,-2291.1,-2.16,2072.9,1.96,-2291.1,-2.16,3572.35,3.57,5
11,Entry long,2024-01-31 11:45,Long,48.55,2182,105936.1,-2291.1,-2.16,2072.9,1.96,-2291.1,-2.16,3572.35,3.57,5
12,Exit long,2024-02-05 11:45,Exit,58.85,2030,103428.5,16037,15.51,19691,19.04,-3146.5,-3.04,19609.35,19.61,25
12,Entry long,2024-02-02 12:15,Long,50.95,2030,103428.5,16037,15.51,19691,19.04,-3146.5,-3.04,19609.35,19.61,25
13,Exit long,2024-02-06 11:15,Exit,59.05,1936,119644.8,-5324,-4.45,2129.6,1.78,-6098.4,-5.10,14285.35,14.29,5
13,Entry long,2024-02-06 10:00,Long,61.8,1936,119644.8,-5324,-4.45,2129.6,1.78,-6098.4,-5.10,14285.35,14.29,5
14,Exit long,2024-02-07 12:30,Exit,63.05,1777,114172.25,-2132.4,-1.87,2932.05,2.57,-2132.4,-1.87,12152.95,12.15,5
14,Entry long,2024-02-07 11:15,Long,64.25,1777,114172.25,-2132.4,-1.87,2932.05,2.57,-2132.4,-1.87,12152.95,12.15,5
15,Exit long,2024-02-09 09:15,Exit,62.6,1645,111942.25,-8965.25,-8.01,4277,3.82,-8965.25,-8.01,3187.7,3.19,30
15,Entry long,2024-02-07 15:15,Long,68.05,1645,111942.25,-8965.25,-8.01,4277,3.82,-8965.25,-8.01,3187.7,3.19,30
