Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-06 11:30,Exit,586.3,170,99943,-272,-0.27,357,0.36,-272,-0.27,-272,-0.27,6
1,Entry long,2023-07-06 10:00,Long,587.9,170,99943,-272,-0.27,357,0.36,-272,-0.27,-272,-0.27,6
2,Exit long,2023-07-06 14:00,Exit,588.4,168,99254.4,-403.2,-0.41,201.6,0.20,-462,-0.47,-675.2,-0.68,4
2,Entry long,2023-07-06 13:00,Long,590.8,168,99254.4,-403.2,-0.41,201.6,0.20,-462,-0.47,-675.2,-0.68,4
3,Exit long,2023-07-17 14:15,Exit,602.5,165,99214.5,198,0.20,775.5,0.78,-305.25,-0.31,-477.2,-0.48,19
3,Entry long,2023-07-17 09:30,Long,601.3,165,99214.5,198,0.20,775.5,0.78,-305.25,-0.31,-477.2,-0.48,19
4,Exit long,2023-07-21 09:15,Exit,613.55,164,99523.4,1098.8,1.10,1976.2,1.99,-205,-0.21,621.6,0.62,31
4,Entry long,2023-07-19 15:00,Long,606.85,164,99523.4,1098.8,1.10,1976.2,1.99,-205,-0.21,621.6,0.62,31
5,Exit long,2023-07-25 11:00,Exit,618.1,162,100504.8,-372.6,-0.37,243,0.24,-607.5,-0.60,249,0.25,6
5,Entry long,2023-07-25 09:30,Long,620.4,162,100504.8,-372.6,-0.37,243,0.24,-607.5,-0.60,249,0.25,6
6,Exit long,2023-07-27 14:30,Exit,651.15,158,99642.7,3239,3.25,4115.9,4.13,0,0.00,3488,3.49,20
6,Entry long,2023-07-27 09:30,Long,630.65,158,99642.7,3239,3.25,4115.9,4.13,0,0.00,3488,3.49,20
7,Exit long,2023-12-18 12:15,Exit,672.75,152,103132,-874,-0.85,38,0.04,-874,-0.85,2614,2.61,4
7,Entry long,2023-12-18 11:15,Long,678.5,152,103132,-874,-0.85,38,0.04,-874,-0.85,2614,2.61,4
8,Exit long,2023-12-19 15:00,Exit,685.85,150,102135,742.5,0.73,1965,1.92,-1432.5,-1.40,3356.5,3.36,27
8,Entry long,2023-12-18 15:00,Long,680.9,150,102135,742.5,0.73,1965,1.92,-1432.5,-1.40,3356.5,3.36,27
9,Exit long,2023-12-20 10:45,Exit,691.65,148,102956.2,-592,-0.58,125.8,0.12,-592,-0.58,2764.5,2.76,5
9,Entry long,2023-12-20 09:30,Long,695.65,148,102956.2,-592,-0.58,125.8,0.12,-592,-0.58,2764.5,2.76,5
10,Exit long,2024-01-01 15:15,Exit,695.75,145,102159.75,-1276,-1.25,36.25,0.04,-1276,-1.25,1488.5,1.49,13
10,Entry long,2024-01-01 12:00,Long,704.55,145,102159.75,-1276,-1.25,36.25,0.04,-1276,-1.25,1488.5,1.49,13
11,Exit long,2024-01-25 09:45,Exit,746,139,101261.5,2432.5,2.40,3530.6,3.49,-903.5,-0.89,3921,3.92,47
11,Entry long,2024-01-23 11:30,Long,728.5,139,101261.5,2432.5,2.40,3530.6,3.49,-903.5,-0.89,3921,3.92,47
12,Exit long,2024-01-30 14:30,Exit,756.3,136,103577.6,-720.8,-0.70,394.4,0.38,-720.8,-0.70,3200.2,3.20,9
12,Entry long,2024-01-30 12:15,Long,761.6,136,103577.6,-720.8,-0.70,394.4,0.38,-720.8,-0.70,3200.2,3.20,9
13,Exit long,2024-02-05 11:00,Exit,766.55,133,102769.1,-817.95,-0.80,698.25,0.68,-817.95,-0.80,2382.25,2.38,6
13,Entry long,2024-02-05 09:30,Long,772.7,133,102769.1,-817.95,-0.80,698.25,0.68,-817.95,-0.80,2382.25,2.38,6
14,Exit long,2024-02-09 13:00,Exit,791,126,102249,-2583,-2.53,1190.7,1.16,-2583,-2.53,-200.75,-0.20,1
14,Entry long,2024-02-09 12:45,Long,811.5,126,102249,-2583,-2.53,1190.7,1.16,-2583,-2.53,-200.75,-0.20,1
15,Exit long,2024-02-12 14:30,Exit,856.8,119,98996.1,2963.1,2.99,3742.55,3.78,-321.3,-0.32,2762.35,2.76,20
15,Entry long,2024-02-12 09:30,Long,831.9,119,98996.1,2963.1,2.99,3742.55,3.78,-321.3,-0.32,2762.35,2.76,20
16,Exit long,2024-02-20 10:00,Exit,903.95,117,102562.2,3199.95,3.12,4235.4,4.13,-76.05,-0.07,5962.3,5.96,60
16,Entry long,2024-02-15 15:15,Long,876.6,117,102562.2,3199.95,3.12,4235.4,4.13,-76.05,-0.07,5962.3,5.96,60
17,Exit long,2024-02-23 15:00,Exit,925,115,105368.75,1006.25,0.95,2386.25,2.26,-437,-0.41,6968.55,6.97,19
17,Entry long,2024-02-23 10:15,Long,916.25,115,105368.75,1006.25,0.95,2386.25,2.26,-437,-0.41,6968.55,6.97,19
18,Exit long,2024-02-27 14:00,Exit,939.7,113,106508.15,-322.05,-0.30,1254.3,1.18,-322.05,-0.30,6646.5,6.65,21
18,Entry long,2024-02-26 15:30,Long,942.55,113,106508.15,-322.05,-0.30,1254.3,1.18,-322.05,-0.30,6646.5,6.65,21
19,Exit long,2024-03-06 09:15,Exit,947.7,111,105932.85,-738.15,-0.70,138.75,0.13,-738.15,-0.70,5908.35,5.91,5
19,Entry long,2024-03-05 14:45,Long,954.35,111,105932.85,-738.15,-0.70,138.75,0.13,-738.15,-0.70,5908.35,5.91,5
20,Exit long,2024-03-11 12:00,Exit,995.5,109,105631.9,2877.6,2.72,5057.6,4.79,0,0.00,8785.95,8.79,32
20,Entry long,2024-03-07 10:45,Long,969.1,109,105631.9,2877.6,2.72,5057.6,4.79,0,0.00,8785.95,8.79,32
21,Exit long,2024-03-26 15:15,Exit,1014.4,106,108167.7,-641.3,-0.59,58.3,0.05,-641.3,-0.59,8144.65,8.14,4
21,Entry long,2024-03-26 14:15,Long,1020.45,106,108167.7,-641.3,-0.59,58.3,0.05,-641.3,-0.59,8144.65,8.14,4
22,Exit long,2024-05-17 11:30,Exit,1029.1,104,107723.2,-696.8,-0.65,182,0.17,-696.8,-0.65,7447.85,7.45,5
22,Entry long,2024-05-17 10:15,Long,1035.8,104,107723.2,-696.8,-0.65,182,0.17,-696.8,-0.65,7447.85,7.45,5
23,Exit long,2024-05-18 11:30,Exit,1103.95,102,106998,5604.9,5.24,5604.9,5.24,-357,-0.33,13052.75,13.05,9
23,Entry long,2024-05-17 14:45,Long,1049,102,106998,5604.9,5.24,5604.9,5.24,-357,-0.33,13052.75,13.05,9
24,Exit long,2024-07-08 14:30,Exit,1162.2,95,112190.25,-1781.25,-1.59,185.25,0.17,-1781.25,-1.59,11271.5,11.27,20
24,Entry long,2024-07-08 09:30,Long,1180.95,95,112190.25,-1781.25,-1.59,185.25,0.17,-1781.25,-1.59,11271.5,11.27,20
25,Exit long,2024-07-11 10:15,Exit,1170.6,93,110484,-1618.2,-1.46,1395,1.26,-1994.85,-1.81,9653.3,9.65,6
25,Entry long,2024-07-10 15:30,Long,1188,93,110484,-1618.2,-1.46,1395,1.26,-1994.85,-1.81,9653.3,9.65,6
26,Exit long,2024-07-26 12:15,Exit,1203.6,90,108643.5,-319.5,-0.29,706.5,0.65,-553.5,-0.51,9333.8,9.33,19
26,Entry long,2024-07-25 14:15,Long,1207.15,90,108643.5,-319.5,-0.29,706.5,0.65,-553.5,-0.51,9333.8,9.33,19
