Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-06 15:00,Exit,296.7,335,99796.5,-402,-0.40,703.5,0.70,-402,-0.40,-402,-0.40,16
1,Entry long,2023-07-06 11:00,Long,297.9,335,99796.5,-402,-0.40,703.5,0.70,-402,-0.40,-402,-0.40,16
2,Exit long,2023-08-24 11:00,Exit,327.75,313,99549.65,3036.1,3.05,4053.35,4.07,-391.25,-0.39,2634.1,2.63,15
2,Entry long,2023-08-23 14:00,Long,318.05,313,99549.65,3036.1,3.05,4053.35,4.07,-391.25,-0.39,2634.1,2.63,15
3,Exit long,2023-08-30 14:45,Exit,324,306,102433.5,-3289.5,-3.21,933.3,0.91,-3289.5,-3.21,-655.4,-0.66,75
3,Entry long,2023-08-28 09:30,Long,334.75,306,102433.5,-3289.5,-3.21,933.3,0.91,-3289.5,-3.21,-655.4,-0.66,75
4,Exit long,2024-05-15 15:15,Exit,353.15,279,99156.6,-627.75,-0.63,348.75,0.35,-948.6,-0.96,-1283.15,-1.28,4
4,Entry long,2024-05-15 14:15,Long,355.4,279,99156.6,-627.75,-0.63,348.75,0.35,-948.6,-0.96,-1283.15,-1.28,4
5,Exit long,2024-05-30 09:15,Exit,356.55,273,98389.2,-1051.05,-1.07,436.8,0.44,-1051.05,-1.07,-2334.2,-2.33,9
5,Entry long,2024-05-29 13:45,Long,360.4,273,98389.2,-1051.05,-1.07,436.8,0.44,-1051.05,-1.07,-2334.2,-2.33,9
6,Exit long,2024-07-12 15:15,Exit,435.75,220,97460,-1595,-1.64,88,0.09,-1595,-1.64,-3929.2,-3.93,4
6,Entry long,2024-07-12 14:15,Long,443,220,97460,-1595,-1.64,88,0.09,-1595,-1.64,-3929.2,-3.93,4
7,Exit long,2024-07-22 15:00,Exit,454.15,211,95878.4,-52.75,-0.06,759.6,0.79,-928.4,-0.97,-3981.95,-3.98,17
7,Entry long,2024-07-22 10:45,Long,454.4,211,95878.4,-52.75,-0.06,759.6,0.79,-928.4,-0.97,-3981.95,-3.98,17
8,Exit long,2024-07-24 11:30,Exit,467.6,206,95862.1,463.5,0.48,2193.9,2.29,-257.5,-0.27,-3518.45,-3.52,8
8,Entry long,2024-07-24 09:30,Long,465.35,206,95862.1,463.5,0.48,2193.9,2.29,-257.5,-0.27,-3518.45,-3.52,8
9,Exit long,2024-07-29 14:00,Exit,483,199,96087.15,29.85,0.03,905.45,0.94,-248.75,-0.26,-3488.6,-3.49,14
9,Entry long,2024-07-29 10:30,Long,482.85,199,96087.15,29.85,0.03,905.45,0.94,-248.75,-0.26,-3488.6,-3.49,14
10,Exit long,2024-07-30 11:45,Exit,489.85,195,96320.25,-799.5,-0.83,555.75,0.58,-965.25,-1.00,-4288.1,-4.29,7
10,Entry long,2024-07-30 10:00,Long,493.95,195,96320.25,-799.5,-0.83,555.75,0.58,-965.25,-1.00,-4288.1,-4.29,7
11,Exit long,2025-09-12 12:30,Exit,512,183,95306.4,-1610.4,-1.69,695.4,0.73,-1830,-1.92,-5898.5,-5.90,12
11,Entry long,2025-09-12 09:30,Long,520.8,183,95306.4,-1610.4,-1.69,695.4,0.73,-1830,-1.92,-5898.5,-5.90,12
12,Exit long,2026-04-13 14:15,Exit,530.3,177,94057.8,-194.7,-0.21,3717,3.95,-929.25,-0.99,-6093.2,-6.09,16
12,Entry long,2026-04-13 10:15,Long,531.4,177,94057.8,-194.7,-0.21,3717,3.95,-929.25,-0.99,-6093.2,-6.09,16
