Trade number,Type,Date and time,Signal,Price INR,Size (qty),Size (value),Net PnL INR,Return %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative PnL INR,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-06 14:30,Exit,408.7,250,99750,2425,2.43,3462.5,3.47,-537.5,-0.54,2425,2.43,23
1,Entry long,2023-07-05 15:30,Long,399,250,99750,2425,2.43,3462.5,3.47,-537.5,-0.54,2425,2.43,23
2,Exit long,2023-07-07 13:15,Exit,415.2,248,102399.2,570.4,0.56,2318.8,2.26,-508.4,-0.50,2995.4,3.00,18
2,Entry long,2023-07-06 15:30,Long,412.9,248,102399.2,570.4,0.56,2318.8,2.26,-508.4,-0.50,2995.4,3.00,18
3,Exit long,2023-07-11 11:45,Exit,430.2,238,102863.6,-476,-0.46,130.9,0.13,-476,-0.46,2519.4,2.52,4
3,Entry long,2023-07-11 10:45,Long,432.2,238,102863.6,-476,-0.46,130.9,0.13,-476,-0.46,2519.4,2.52,4
4,Exit long,2023-07-12 11:45,Exit,433.2,236,102282.4,-47.2,-0.05,731.6,0.72,-566.4,-0.55,2472.2,2.47,13
4,Entry long,2023-07-11 15:15,Long,433.4,236,102282.4,-47.2,-0.05,731.6,0.72,-566.4,-0.55,2472.2,2.47,13
5,Exit long,2023-08-07 09:15,Exit,434.5,232,102172.8,-1368.8,-1.34,104.4,0.10,-1368.8,-1.34,1103.4,1.10,12
5,Entry long,2023-08-04 13:00,Long,440.4,232,102172.8,-1368.8,-1.34,104.4,0.10,-1368.8,-1.34,1103.4,1.10,12
6,Exit long,2023-12-01 15:00,Exit,442,228,100890,-114,-0.11,752.4,0.75,-547.2,-0.54,989.4,0.99,16
6,Entry long,2023-12-01 11:00,Long,442.5,228,100890,-114,-0.11,752.4,0.75,-547.2,-0.54,989.4,0.99,16
7,Exit long,2023-12-05 10:15,Exit,450.65,224,100867.2,78.4,0.08,1052.8,1.04,-459.2,-0.46,1067.8,1.07,12
7,Entry long,2023-12-04 14:00,Long,450.3,224,100867.2,78.4,0.08,1052.8,1.04,-459.2,-0.46,1067.8,1.07,12
8,Exit long,2023-12-06 12:30,Exit,461.4,221,100764.95,1204.45,1.20,2000.05,1.98,-99.45,-0.10,2272.25,2.27,27
8,Entry long,2023-12-05 12:30,Long,455.95,221,100764.95,1204.45,1.20,2000.05,1.98,-99.45,-0.10,2272.25,2.27,27
9,Exit long,2023-12-07 12:00,Exit,465.35,219,102262.05,-350.4,-0.34,1916.25,1.87,-350.4,-0.34,1921.85,1.92,10
9,Entry long,2023-12-07 09:30,Long,466.95,219,102262.05,-350.4,-0.34,1916.25,1.87,-350.4,-0.34,1921.85,1.92,10
10,Exit long,2024-01-18 15:15,Exit,499.55,208,101660,2246.4,2.21,3650.4,3.59,-72.8,-0.07,4168.25,4.17,12
10,Entry long,2024-01-18 12:15,Long,488.75,208,101660,2246.4,2.21,3650.4,3.59,-72.8,-0.07,4168.25,4.17,12
11,Exit long,2024-01-20 15:15,Exit,524.2,203,104108.55,2304.05,2.21,6658.4,6.40,-233.45,-0.22,6472.3,6.47,14
11,Entry long,2024-01-20 11:45,Long,512.85,203,104108.55,2304.05,2.21,6658.4,6.40,-233.45,-0.22,6472.3,6.47,14
12,Exit long,2024-07-29 12:00,Exit,552.65,190,106409.5,-1406,-1.32,351.5,0.33,-1406,-1.32,5066.3,5.07,10
12,Entry long,2024-07-29 09:30,Long,560.05,190,106409.5,-1406,-1.32,351.5,0.33,-1406,-1.32,5066.3,5.07,10
