trade_num,entry_date,entry_premium,exit_date,exit_premium,profit_inr,costs_inr,net_profit_inr,net_profit_pct,bars_held
1,2021-06-01T04:50:00+00:00,544.06,2021-06-01T04:55:00+00:00,524.62,-583.2,34.64,-617.84,-3.785,1
2,2021-06-02T05:10:00+00:00,631.01,2021-06-02T05:15:00+00:00,610.2,-624.3,40.62,-664.92,-3.512,1
3,2021-06-03T04:50:00+00:00,624.2,2021-06-03T04:55:00+00:00,608.43,-473.1,40.42,-513.52,-2.742,1
4,2021-06-04T04:50:00+00:00,484.72,2021-06-04T04:55:00+00:00,463.48,-637.2,30.86,-668.06,-4.594,1
5,2021-06-07T04:50:00+00:00,424.84,2021-06-07T05:25:00+00:00,405.95,-566.7,27.15,-593.85,-4.659,7
6,2021-06-08T04:50:00+00:00,371.53,2021-06-08T04:55:00+00:00,366.8,-141.9,24.02,-165.92,-1.489,1
7,2021-06-09T04:50:00+00:00,370.16,2021-06-09T07:40:00+00:00,486.43,3488.1,28.75,3459.35,31.152,34
8,2021-06-10T04:55:00+00:00,449.75,2021-06-10T05:35:00+00:00,428.27,-644.4,28.24,-672.64,-4.985,8
9,2021-06-11T05:00:00+00:00,431.26,2021-06-11T05:10:00+00:00,408.42,-685.2,27.36,-712.56,-5.508,2
10,2021-06-14T05:25:00+00:00,289.33,2021-06-14T06:25:00+00:00,272.17,-514.8,17.95,-532.75,-6.138,12
11,2021-06-15T05:05:00+00:00,298.55,2021-06-15T05:30:00+00:00,287.62,-327.9,18.51,-346.41,-3.868,5
12,2021-06-16T04:55:00+00:00,301.8,2021-06-16T07:10:00+00:00,410.42,3258.6,24.42,3234.18,35.721,27
13,2021-06-17T05:10:00+00:00,290.6,2021-06-17T05:20:00+00:00,271.33,-578.1,17.96,-596.06,-6.837,2
14,2021-06-18T05:00:00+00:00,262.28,2021-06-18T05:05:00+00:00,243.44,-565.2,16.66,-581.86,-7.395,1
15,2021-06-21T05:05:00+00:00,186.72,2021-06-21T05:25:00+00:00,168.34,-551.4,11.19,-562.59,-10.043,4
16,2021-06-22T04:55:00+00:00,128.54,2021-06-22T05:00:00+00:00,117.47,-332.1,7.67,-339.77,-8.811,1
17,2021-06-23T04:50:00+00:00,89.76,2021-06-23T04:55:00+00:00,74.0,-472.8,4.78,-477.58,-17.735,1
18,2021-06-24T04:55:00+00:00,137.95,2021-06-24T05:45:00+00:00,119.87,-542.4,7.94,-550.34,-13.298,10
19,2021-06-25T05:20:00+00:00,515.85,2021-06-25T05:25:00+00:00,495.49,-610.8,32.32,-643.12,-4.156,1
20,2021-06-28T04:50:00+00:00,650.77,2021-06-28T05:00:00+00:00,629.76,-630.3,42.52,-672.82,-3.446,2
21,2021-06-29T05:10:00+00:00,449.36,2021-06-29T05:55:00+00:00,428.05,-639.3,28.23,-667.53,-4.952,9
22,2021-06-30T04:50:00+00:00,420.77,2021-06-30T05:05:00+00:00,402.52,-547.5,26.98,-574.48,-4.551,3
23,2021-07-01T04:55:00+00:00,579.56,2021-07-01T05:00:00+00:00,564.66,-447.0,38.38,-485.38,-2.792,1
